Label,WHO Location,Normalized Who Location,What Changed
SP 6,"On the tibial aspect of the leg, posterior to the medial border of the tibia, 3 B-cun superior to the prominence of the medial malleolus. Note: 1 B-cun superior to KI8.","On the tibial aspect of the leg, posterior to the medial border of the tibia, 3 B-cun superior to the prominence of the medial malleolus.
- Note: 1 B-cun superior to KI 8.",normalized acupoint code 'KI8' to 'KI 8'; moved 'Note' to a new line prefixed with '- '.
SP 7,"On the tibial aspect of the leg, posterior to the medial border of the tibia, 6 B-cun superior to the prominence of the medial malleolus. Note: 3 B-cun superior to SP6.","On the tibial aspect of the leg, posterior to the medial border of the tibia, 6 B-cun superior to the prominence of the medial malleolus.
- Note: 3 B-cun superior to SP 6.",normalized acupoint code 'SP6' to 'SP 6'; moved 'Note' to a new line prefixed with '- '.
SP 8,"On the tibial aspect of the leg, posterior to the medial border of the tibia, 3 B-cun inferior to SP9. Note: SP8 is located at the junction of the upper one third and lower two thirds of the line connecting the apex of the patella with the prominence of the medial malleolus.","On the tibial aspect of the leg, posterior to the medial border of the tibia, 3 B-cun inferior to SP 9.
- Note: SP 8 is located at the junction of the upper one third and lower two thirds of the line connecting the apex of the patella with the prominence of the medial malleolus.",normalized acupoint code 'SP9' to 'SP 9'; normalized acupoint code 'SP8' to 'SP 8'; moved 'Note' to a new line prefixed with '- '.
SP 9,"On the tibial aspect of the leg, in the depression between the inferior border of the medial condyle of the tibia and the medial border of the tibia. Note: A depression can be felt inferior to the knee joint when moving proximally along the medial border of the tibia. SP9 is located in a depression at the angle formed by the inferior border of the medial condyle of the tibia and the posterior border of the tibia.","On the tibial aspect of the leg, in the depression between the inferior border of the medial condyle of the tibia and the medial border of the tibia.
- Note: A depression can be felt inferior to the knee joint when moving proximally along the medial border of the tibia. SP 9 is located in a depression at the angle formed by the inferior border of the medial condyle of the tibia and the posterior border of the tibia.",normalized acupoint code 'SP9' to 'SP 9'; moved 'Note' to a new line prefixed with '- '.
SP 10,"On the anteromedial aspect of the thigh, on the bulge of the vastus medialis muscle, 2 B-cun superior to the medial end of the base of the patella.","On the anteromedial aspect of the thigh, on the bulge of the vastus medialis muscle, 2 B-cun superior to the medial end of the base of the patella.",No changes needed.
SP 11,"On the medial aspect of the thigh, at the junction of the upper one third and lower two thirds of the line connecting the medial end of the base of the patella with SP12, between the sartorius muscle and the adductor longus muscle, over the femoral artery.","On the medial aspect of the thigh, at the junction of the upper one third and lower two thirds of the line connecting the medial end of the base of the patella with SP 12, between the sartorius muscle and the adductor longus muscle, over the femoral artery.",normalized acupoint code 'SP12' to 'SP 12'.
SP 12,"In the groin region, at the inguinal crease, lateral to the femoral artery. Note: At the same level as CV2, medial and inferior to SP13.","In the groin region, at the inguinal crease, lateral to the femoral artery.
- Note: At the same level as CV 2, medial and inferior to SP 13.",normalized acupoint code 'CV2' to 'CV 2'; normalized acupoint code 'SP13' to 'SP 13'; moved 'Note' to a new line prefixed with '- '.
SP 13,"On the lower abdomen, 4.3 B-cun inferior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line.","On the lower abdomen, 4.3 B-cun inferior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line.",No changes needed.
SP 14,"On the lower abdomen, 1.3 B-cun inferior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line.","On the lower abdomen, 1.3 B-cun inferior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line.",No changes needed.
SP 15,"On the upper abdomen, 4 B-cun lateral to the centre of the umbilicus. Note: At the same level and lateral to ST25, KI16 and CV8.","On the upper abdomen, 4 B-cun lateral to the centre of the umbilicus.
- Note: At the same level and lateral to ST 25, KI 16 and CV 8.",normalized acupoint code 'ST25' to 'ST 25'; normalized acupoint code 'KI16' to 'KI 16'; normalized acupoint code 'CV8' to 'CV 8'; moved 'Note' to a new line prefixed with '- '.
SP 16,"On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line. Note: 3 B-cun superior to SP15, at the same level as CV11.","On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line.
- Note: 3 B-cun superior to SP 15, at the same level as CV 11.",normalized acupoint code 'SP15' to 'SP 15'; normalized acupoint code 'CV11' to 'CV 11'; moved 'Note' to a new line prefixed with '- '.
SP 17,"In the anterior thoracic region, in the fifth intercostal space, 6 B-cun lateral to the anterior median line. Note: SP17, ST18 and KI22 are located along the curve of the fifth intercostal space.","In the anterior thoracic region, in the fifth intercostal space, 6 B-cun lateral to the anterior median line.
- Note: SP 17, ST 18 and KI 22 are located along the curve of the fifth intercostal space.",normalized acupoint code 'SP17' to 'SP 17'; normalized acupoint code 'ST18' to 'ST 18'; normalized acupoint code 'KI22' to 'KI 22'; moved 'Note' to a new line prefixed with '- '.
SP 18,"In the anterior thoracic region, in the fourth intercostal space, 6 B-cun lateral to the anterior median line. Note: SP18, ST17 and KI23 are located along the curve of the fourth intercostal space.","In the anterior thoracic region, in the fourth intercostal space, 6 B-cun lateral to the anterior median line.
- Note: SP 18, ST 17 and KI 23 are located along the curve of the fourth intercostal space.",normalized acupoint code 'SP18' to 'SP 18'; normalized acupoint code 'ST17' to 'ST 17'; normalized acupoint code 'KI23' to 'KI 23'; moved 'Note' to a new line prefixed with '- '.
SP 19,"In the anterior thoracic region, in the third intercostal space, 6 B-cun lateral to the anterior median line. Note: SP19, ST6 and KI24 are located along the curve of the third intercostal space.","In the anterior thoracic region, in the third intercostal space, 6 B-cun lateral to the anterior median line.
- Note: SP 19, ST 6 and KI 24 are located along the curve of the third intercostal space.",normalized acupoint code 'SP19' to 'SP 19'; normalized acupoint code 'ST6' to 'ST 6'; normalized acupoint code 'KI24' to 'KI 24'; moved 'Note' to a new line prefixed with '- '.
SP 20,"In the anterior thoracic region, in the sec- ond intercostal space, 6 B-cun lateral to the anterior median line. Note: SP20, ST15 and KI25 are located along the curve of the second intercostal space.","In the anterior thoracic region, in the second intercostal space, 6 B-cun lateral to the anterior median line.
- Note: SP 20, ST 15 and KI 25 are located along the curve of the second intercostal space.",rejoined split word 'sec- ond' into 'second'; normalized acupoint code 'SP20' to 'SP 20'; normalized acupoint code 'ST15' to 'ST 15'; normalized acupoint code 'KI25' to 'KI 25'; moved 'Note' to a new line prefixed with '- '.
SP 21,"In the lateral thoracic region, in the sixth intercostal space, on the midaxillary line. Note: With the subject lying on the side and the arm abducted, SP21 is located at the intersection of the midaxillary line and the sixth intercostal space.","In the lateral thoracic region, in the sixth intercostal space, on the midaxillary line.
- Note: With the subject lying on the side and the arm abducted, SP 21 is located at the intersection of the midaxillary line and the sixth intercostal space.",normalized acupoint code 'SP21' to 'SP 21'; moved 'Note' to a new line prefixed with '- '.
,,,
HT 1,"In the axilla, in the centre of the axillary fossa, over the axillary artery.","In the axilla, in the centre of the axillary fossa, over the axillary artery.",No changes needed.
HT 2,"On the medial aspect of the arm, just medial to the biceps brachii muscle, 3 B-cun superior to the cubital crease. Note: With the elbow flexed and the arm abducted, Ht2 is located at the junction of the upper two thirds and lower one third of the line connecting Ht1 with Ht3.","On the medial aspect of the arm, just medial to the biceps brachii muscle, 3 B-cun superior to the cubital crease.
- Note: With the elbow flexed and the arm abducted, HT 2 is located at the junction of the upper two thirds and lower one third of the line connecting HT 1 with HT 3.",normalized acupoint code 'Ht2' to 'HT 2'; normalized acupoint code 'Ht1' to 'HT 1'; normalized acupoint code 'Ht3' to 'HT 3'; moved 'Note' to a new line prefixed with '- '.
HT 3,"On the anteromedial aspect of the elbow, just anterior to the medial epicondyle of the humerus, at the same level as the cubital crease. Note: With the elbow is flexed, HT3 is located at the midpoint of the line connecting the medial end of the cubital crease and the medial epicondyle of the humerus.","On the anteromedial aspect of the elbow, just anterior to the medial epicondyle of the humerus, at the same level as the cubital crease.
- Note: With the elbow is flexed, HT 3 is located at the midpoint of the line connecting the medial end of the cubital crease and the medial epicondyle of the humerus.",normalized acupoint code 'HT3' to 'HT 3'; moved 'Note' to a new line prefixed with '- '.
HT 4,"On the anteromedial aspect of the forearm, just radial to the flexor carpi ulnaris tendon, 1.5 B-cun proximal to the palmar wrist crease. Note 1: 1.5 B-cun proximal to HT7, at the same level as the superior border of the head of the ulna. Note 2: 1.5 B-cun proximal to the radial side of the superior border of the pisiform bone.","On the anteromedial aspect of the forearm, just radial to the flexor carpi ulnaris tendon, 1.5 B-cun proximal to the palmar wrist crease.
- Note 1: 1.5 B-cun proximal to HT 7, at the same level as the superior border of the head of the ulna.
- Note 2: 1.5 B-cun proximal to the radial side of the superior border of the pisiform bone.",normalized acupoint code 'HT7' to 'HT 7'; moved 'Note' to a new line prefixed with '- '.
HT 5,"On the anteromedial aspect of the forearm, radial to the flexor carpi ulnaris tendon, 1 B-cun proximal to the palmar wrist crease. Note 1: 1 B-cun proximal to HT7. HT 4 is located at the level with the root of the head of the ulna, HT 5, the body of the head of the ulna and Ht 6, the base of the head of the ulna. Note 2: 1 B-cun proximal to the radial side of the proximal border of the pisiform bone.","On the anteromedial aspect of the forearm, radial to the flexor carpi ulnaris tendon, 1 B-cun proximal to the palmar wrist crease.
- Note 1: 1 B-cun proximal to HT 7. HT 4 is located at the level with the root of the head of the ulna, HT 5, the body of the head of the ulna and HT 6, the base of the head of the ulna.
- Note 2: 1 B-cun proximal to the radial side of the proximal border of the pisiform bone.",normalized acupoint code 'HT7' to 'HT 7'; normalized acupoint code 'Ht 6' to 'HT 6'; moved 'Note' to a new line prefixed with '- '.
HT 6,"On the anteromedial aspect of the forearm, radial to the flexor carpi ulnaris tendon, 0.5 B-cun proximal to the palmar wrist crease. Note 1: 0.5 B-cun proximal to HT7, at the same level as the distal border of the head of the ulna. Note 2: 0.5 B-cun proximal to the radial side of the proximal border of the pisiform bone.","On the anteromedial aspect of the forearm, radial to the flexor carpi ulnaris tendon, 0.5 B-cun proximal to the palmar wrist crease.
- Note 1: 0.5 B-cun proximal to HT 7, at the same level as the distal border of the head of the ulna.
- Note 2: 0.5 B-cun proximal to the radial side of the proximal border of the pisiform bone.",normalized acupoint code 'HT7' to 'HT 7'; moved 'Note' to a new line prefixed with '- '.
HT 7,"On the anteromedial aspect of the wrist, radial to the flexor carpi ulnaris tendon, on the palmar wrist crease. Note: In the depression radial to the proximal border of the pisiform bone, on the palmar wrist crease.","On the anteromedial aspect of the wrist, radial to the flexor carpi ulnaris tendon, on the palmar wrist crease.
- Note: In the depression radial to the proximal border of the pisiform bone, on the palmar wrist crease.",moved 'Note' to a new line prefixed with '- '.
HT 8,"On the palm of the hand, in the depression between the fourth and fifth metacarpal bones, proximal to the fifth metacarpophalangeal joint. Note: Between the fourth and fifth metacarpal bones, where the tip of the little finger rests when a fist is made, at the same level as PC8.","On the palm of the hand, in the depression between the fourth and fifth metacarpal bones, proximal to the fifth metacarpophalangeal joint.
- Note: Between the fourth and fifth metacarpal bones, where the tip of the little finger rests when a fist is made, at the same level as PC 8.",normalized acupoint code 'PC8' to 'PC 8'; moved 'Note' to a new line prefixed with '- '.
HT 9,"On the little finger, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the little fingernail, at the intersection of the vertical line of the radial border of the nail and horizontal line of the base of the little fingernail.","On the little finger, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the little fingernail, at the intersection of the vertical line of the radial border of the nail and horizontal line of the base of the little fingernail.",No changes needed.
,,,
SI 1,"On the little finger, ulnar to the distal phalanx, 0.1 f-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and horizontal line of the base of the little fingernail.","On the little finger, ulnar to the distal phalanx, 0.1 f-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and horizontal line of the base of the little fingernail.",No changes needed.
SI 2,"On the little finger, ulnar to the distal phalanx, 0.1 f-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and horizontal line of the base of the little fingernail.","On the little finger, ulnar to the distal phalanx, 0.1 f-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and horizontal line of the base of the little fingernail.",No changes needed.
SI 3,"On the little finger, ulnar to the distal phalanx, 0.1 f-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and horizontal line of the base of the little fingernail.","On the little finger, ulnar to the distal phalanx, 0.1 f-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and horizontal line of the base of the little fingernail.",No changes needed.
SI 4,"On the posteromedial aspect of the wrist, in the depression between the base of the fifth metacarpal bone and the triquetrum bone, at the border between the red and white flesh. Note: With one finger placed on SI3, push and slide proximally along the fifth metacarpal bone to the bony projection, SI4 is located in the depression between these two bones.","On the posteromedial aspect of the wrist, in the depression between the base of the fifth metacarpal bone and the triquetrum bone, at the border between the red and white flesh.
- Note: With one finger placed on SI 3, push and slide proximally along the fifth metacarpal bone to the bony projection, SI 4 is located in the depression between these two bones.",normalized acupoint code 'SI3' to 'SI 3'; normalized acupoint code 'SI4' to 'SI 4'; moved 'Note' to a new line prefixed with '- '.
SI 5,"On the posteromedial aspect of the wrist, in the depression between the triquetrum bone and the ulnar styloid process.","On the posteromedial aspect of the wrist, in the depression between the triquetrum bone and the ulnar styloid process.",No changes needed.
SI 6,"On the posteromedial aspect of the forearm, in the depression radial to the head of the ulnar bone, 1 B-cun proximal to the dorsal wrist crease. Note: With the palm facing downwards, press the highest point of the head of ulnar bone with a finger, and then turn the palm towards the chest; SI6 is located at the cleft between the bones where the finger slides.","On the posteromedial aspect of the forearm, in the depression radial to the head of the ulnar bone, 1 B-cun proximal to the dorsal wrist crease.
- Note: With the palm facing downwards, press the highest point of the head of ulnar bone with a finger, and then turn the palm towards the chest; SI 6 is located at the cleft between the bones where the finger slides.",normalized acupoint code 'SI6' to 'SI 6'; moved 'Note' to a new line prefixed with '- '.
SI 7,"On the posteromedial aspect of the forearm, between the medial border of the ulnar bone and the flexor carpi ulnaris muscle, 5 B-cun proximal to the dorsal wrist crease. Note: 1 B-cun distal to the midpoint of the line connecting SI5 with SI8.","On the posteromedial aspect of the forearm, between the medial border of the ulnar bone and the flexor carpi ulnaris muscle, 5 B-cun proximal to the dorsal wrist crease.
- Note: 1 B-cun distal to the midpoint of the line connecting SI 5 with SI 8.",normalized acupoint code 'SI5' to 'SI 5'; normalized acupoint code 'SI8' to 'SI 8'; moved 'Note' to a new line prefixed with '- '.
SI 8,"On the posteromedial aspect of the elbow, in the depression between the olecranon and the medial epicondyle of the humerus bone. Note: When the elbow is slightly flexed, SI 8 is located in the groove for the ulnar nerve.","On the posteromedial aspect of the elbow, in the depression between the olecranon and the medial epicondyle of the humerus bone.
- Note: When the elbow is slightly flexed, SI 8 is located in the groove for the ulnar nerve.",moved 'Note' to a new line prefixed with '- '.
SI 9,"On the shoulder girdle, posteroinferior to the shoulder joint, 1 B-cun superior to the posterior axillary fold. Note: When the arm is adducted, SI 9 is located 1 B-cun superior to the posterior axillary fold, posterior to the deltoid muscle.","On the shoulder girdle, posteroinferior to the shoulder joint, 1 B-cun superior to the posterior axillary fold.
- Note: When the arm is adducted, SI 9 is located 1 B-cun superior to the posterior axillary fold, posterior to the deltoid muscle.",moved 'Note' to a new line prefixed with '- '.
SI 10,"On the shoulder girdle, superior to the posterior axillary fold, in the depression inferior to the spine of the scapula.","On the shoulder girdle, superior to the posterior axillary fold, in the depression inferior to the spine of the scapula.",No changes needed.
SI 11,"In the scapular region, in the depression between the upper one third and lower two thirds of the line connecting the midpoint of the spine of the scapula with the inferior angle of the scapula.","In the scapular region, in the depression between the upper one third and lower two thirds of the line connecting the midpoint of the spine of the scapula with the inferior angle of the scapula.",No changes needed.
SI 12,"In the scapular region, in the supraspinatous fossa, superior to the midpoint of the spine of the scapula.","In the scapular region, in the supraspinatous fossa, superior to the midpoint of the spine of the scapula.",No changes needed.
SI 13,"In the scapular region, in the depression superior to the medial end of the spine of the scapula. Note: SI13 is located at the midpoint of the line connecting SI10 with the spinous pro- cess of the second thoracic vertebra (T2).","In the scapular region, in the depression superior to the medial end of the spine of the scapula.
- Note: SI 13 is located at the midpoint of the line connecting SI 10 with the spinous process of the second thoracic vertebra (T2).",rejoined split word 'pro- cess' into 'process'; normalized acupoint code 'SI13' to 'SI 13'; normalized acupoint code 'SI10' to 'SI 10'; moved 'Note' to a new line prefixed with '- '.
SI 14,"In the upper back region, at the same level as the inferior border of the spinous process of the first thoracic vertebra (T1), 3 B-cun lateral to the posterior median line. Note 1: SI14 is located at the intersection of two imaginary lines: the vertical line of the medial extremity of the spine of the scapula and the horizontal line inferior to the spinous process of the first thoracic vertebra (T1). Note 2: SI14 is located at the same level as BL11, gV13, and the inferior border of the spinous process of the first thoracic vertebra (T1).","In the upper back region, at the same level as the inferior border of the spinous process of the first thoracic vertebra (T1), 3 B-cun lateral to the posterior median line.
- Note 1: SI 14 is located at the intersection of two imaginary lines: the vertical line of the medial extremity of the spine of the scapula and the horizontal line inferior to the spinous process of the first thoracic vertebra (T1).
- Note 2: SI 14 is located at the same level as BL 11, GV 13, and the inferior border of the spinous process of the first thoracic vertebra (T1).",normalized acupoint code 'SI14' to 'SI 14'; normalized acupoint code 'BL11' to 'BL 11'; normalized acupoint code 'gV13' to 'GV 13'; moved 'Note' to a new line prefixed with '- '.
SI 15,"In the upper back region, at the same level as the inferior border of the spinous pro- cess of the seventh cervical vertebra (C7), 2 B-cun lateral to the posterior median line. Note: SI15 is located at the intersection of two imaginary lines: the vertical line of the junction of the lateral one third and the medial two thirds of the line connecting the posterior median line with the medial border of the scapula and the horizontal line inferior to the spinous process of the seventh cervical vertebra (C7).","In the upper back region, at the same level as the inferior border of the spinous process of the seventh cervical vertebra (C7), 2 B-cun lateral to the posterior median line.
- Note: SI 15 is located at the intersection of two imaginary lines: the vertical line of the junction of the lateral one third and the medial two thirds of the line connecting the posterior median line with the medial border of the scapula and the horizontal line inferior to the spinous process of the seventh cervical vertebra (C7).",rejoined split word 'pro- cess' into 'process'; normalized acupoint code 'SI15' to 'SI 15'; moved 'Note' to a new line prefixed with '- '.
SI 16,"In the anterior region of the neck, posterior to the sternocleidomastoid muscle, at the same level as the superior border of the thyroid cartilage. Note 1: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance. Note 2: SI16 is located at the same level as St9, LI18 and the superior border of the thyroid cartilage. St9 is located anterior to the sternocleidomastoid muscle, SI16, posterior to the sternocleidomastoid muscle and LI18, midway between the anterior and posterior borders of the sternocleidomastoid muscle.","In the anterior region of the neck, posterior to the sternocleidomastoid muscle, at the same level as the superior border of the thyroid cartilage.
- Note 1: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance.
- Note 2: SI 16 is located at the same level as ST 9, LI 18 and the superior border of the thyroid cartilage. ST 9 is located anterior to the sternocleidomastoid muscle, SI 16, posterior to the sternocleidomastoid muscle and LI 18, midway between the anterior and posterior borders of the sternocleidomastoid muscle.",normalized acupoint code 'SI16' to 'SI 16'; normalized acupoint code 'St9' to 'ST 9'; normalized acupoint code 'LI18' to 'LI 18'; moved 'Note' to a new line prefixed with '- '.
SI 17,"In the anterior region of the neck, posterior to the angle of the mandible, in the depression anterior to the sternocleidomastoid muscle. Note: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance.","In the anterior region of the neck, posterior to the angle of the mandible, in the depression anterior to the sternocleidomastoid muscle.
- Note: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance.",moved 'Note' to a new line prefixed with '- '.
SI 18,"On the face, inferior to the zygomatic bone, in the depression directly inferior to the outer canthus of the eye.","On the face, inferior to the zygomatic bone, in the depression directly inferior to the outer canthus of the eye.",No changes needed.
SI 19,"On the face, in the depression between the anterior border of the centre of the tragus and the posterior border of the condylar process of the mandible. Note: When the mouth is slightly opened, SI19 is located in the depression anterior to the centre of the tragus, between tE21 and gB2.","On the face, in the depression between the anterior border of the centre of the tragus and the posterior border of the condylar process of the mandible.
- Note: When the mouth is slightly opened, SI 19 is located in the depression anterior to the centre of the tragus, between TE 21 and GB 2.",normalized acupoint code 'SI19' to 'SI 19'; normalized acupoint code 'tE21' to 'TE 21'; normalized acupoint code 'gB2' to 'GB 2'; moved 'Note' to a new line prefixed with '- '.
,,,
BL 1,"On the face, in the depression between the superomedial parts of the inner canthus of the eye and the medial wall of the orbit. Note: When the eye is closed, BL1 is located in the depression 0.1 B-cun superior and medial to the inner canthus of the eye.","On the face, in the depression between the superomedial parts of the inner canthus of the eye and the medial wall of the orbit.
- Note: When the eye is closed, BL 1 is located in the depression 0.1 B-cun superior and medial to the inner canthus of the eye.",normalized acupoint code 'BL1' to 'BL 1'; moved 'Note' to a new line prefixed with '- '.
BL 2,"On the head, in the depression at the medial end of the eyebrow. Note: A depression, the frontal notch, can often be palpated on the medial end of the eyebrow directly superior to BL1.","On the head, in the depression at the medial end of the eyebrow.
- Note: A depression, the frontal notch, can often be palpated on the medial end of the eyebrow directly superior to BL 1.",normalized acupoint code 'BL1' to 'BL 1'; moved 'Note' to a new line prefixed with '- '.
BL 3,"On the head, superior to the frontal notch, 0.5 B-cun superior to the anterior hairline. Note: Midway between GV24 and BL4.","On the head, superior to the frontal notch, 0.5 B-cun superior to the anterior hairline.
- Note: Midway between GV 24 and BL 4.",normalized acupoint code 'GV24' to 'GV 24'; normalized acupoint code 'BL4' to 'BL 4'; moved 'Note' to a new line prefixed with '- '.
BL 4,"On the head, 0.5 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line. Note: At the junction of the medial one third and lateral two thirds of the line connecting gV24 with St8.","On the head, 0.5 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line.
- Note: At the junction of the medial one third and lateral two thirds of the line connecting GV 24 with ST 8.",normalized acupoint code 'gV24' to 'GV 24'; normalized acupoint code 'St8' to 'ST 8'; moved 'Note' to a new line prefixed with '- '.
BL 5,"On the head, 1 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line. Note: 0.5 B-cun superior to BL4, at the same level as gV23.","On the head, 1 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line.
- Note: 0.5 B-cun superior to BL 4, at the same level as GV 23.",normalized acupoint code 'BL4' to 'BL 4'; normalized acupoint code 'gV23' to 'GV 23'; moved 'Note' to a new line prefixed with '- '.
BL 6,"On the head, 2.5 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line. Note: 1.5 B-cun superior to BL5. 2 B-cun superior to BL4","On the head, 2.5 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line.
- Note: 1.5 B-cun superior to BL 5. 2 B-cun superior to BL 4",normalized acupoint code 'BL5' to 'BL 5'; normalized acupoint code 'BL4' to 'BL 4'; moved 'Note' to a new line prefixed with '- '.
BL 7,"On the head, 4 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line. Note: Midway between BL6 and BL8.","On the head, 4 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line.
- Note: Midway between BL 6 and BL 8.",normalized acupoint code 'BL6' to 'BL 6'; normalized acupoint code 'BL8' to 'BL 8'; moved 'Note' to a new line prefixed with '- '.
BL 8,"On the head, 5.5 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line. Note: 0.5 B-cun posterior and 1.5 B-cun lateral to gV20.","On the head, 5.5 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line.
- Note: 0.5 B-cun posterior and 1.5 B-cun lateral to GV 20.",normalized acupoint code 'gV20' to 'GV 20'; moved 'Note' to a new line prefixed with '- '.
BL 9,"On the head, at the same level as the superior border of the external occipital protuberance, and 1.3 B-cun lateral to the posterior median line. Note: BL9 is located at the intersection of two imaginary lines: the vertical line of the lateral border of the trapezius muscle and the horizontal line of the superior border of the external occipital protuberance. at the same level as gV17.","On the head, at the same level as the superior border of the external occipital protuberance, and 1.3 B-cun lateral to the posterior median line.
- Note: BL 9 is located at the intersection of two imaginary lines: the vertical line of the lateral border of the trapezius muscle and the horizontal line of the superior border of the external occipital protuberance. at the same level as GV 17.",normalized acupoint code 'BL9' to 'BL 9'; normalized acupoint code 'gV17' to 'GV 17'; moved 'Note' to a new line prefixed with '- '.
BL 10,"In the posterior region of the neck, at the same level as the superior border of the spinous process of the second cervical vertebra (C2), in the depression lateral to the trapezius muscle.","In the posterior region of the neck, at the same level as the superior border of the spinous process of the second cervical vertebra (C2), in the depression lateral to the trapezius muscle.",No changes needed.
BL 11,"In the upper back region, at the same level as the inferior border of the spinous process of the first thoracic vertebra (T1), 1.5 B-cun lateral to the posterior median line.","In the upper back region, at the same level as the inferior border of the spinous process of the first thoracic vertebra (T1), 1.5 B-cun lateral to the posterior median line.",No changes needed.
BL 12,"In the upper back region, at the same level as the inferior border of the spinous process of the second thoracic vertebra (T2), 1.5 B- cun lateral to the posterior median line.","In the upper back region, at the same level as the inferior border of the spinous process of the second thoracic vertebra (T2), 1.5 B-cun lateral to the posterior median line.",closed the erroneous space in 'B- cun' to 'B-cun'.
BL 13,"In the upper back region, at the same level as the inferior border of the spinous pro- cess of the third thoracic vertebra (T3), 1.5 B-cun lateral to the posterior median line.","In the upper back region, at the same level as the inferior border of the spinous process of the third thoracic vertebra (T3), 1.5 B-cun lateral to the posterior median line.",rejoined split word 'pro- cess' into 'process'.
BL 14,"In the upper back region, at the same level as the inferior border of the spinous process of the fourth thoracic vertebra (T4), 1.5 B-cun lateral to the posterior median line.","In the upper back region, at the same level as the inferior border of the spinous process of the fourth thoracic vertebra (T4), 1.5 B-cun lateral to the posterior median line.",No changes needed.
BL 15,"In the upper back region, at the same level as the inferior border of the spinous pro- cess of the fifth thoracic vertebra (T5), 1.5 B-cun lateral to the posterior median line.","In the upper back region, at the same level as the inferior border of the spinous process of the fifth thoracic vertebra (T5), 1.5 B-cun lateral to the posterior median line.",rejoined split word 'pro- cess' into 'process'.
BL 16,"In the upper back region, level with the inferior border of the spinous process of the sixth thoracic vertebra (T6), 1.5 B-cun lateral to the posterior median line.","In the upper back region, level with the inferior border of the spinous process of the sixth thoracic vertebra (T6), 1.5 B-cun lateral to the posterior median line.",No changes needed.
BL 17,"In the upper back region, at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7), 1.5 B-cun lateral to the posterior median line. Note: The inferior angle of the scapula is at the same level as the spinous process of the seventh thoracic vertebra.","In the upper back region, at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7), 1.5 B-cun lateral to the posterior median line.
- Note: The inferior angle of the scapula is at the same level as the spinous process of the seventh thoracic vertebra.",moved 'Note' to a new line prefixed with '- '.
BL 18,"In the upper back region, at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9), 1.5 B-cun lateral to the posterior median line.","In the upper back region, at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9), 1.5 B-cun lateral to the posterior median line.",No changes needed.
BL 19,"In the upper back region, at the same level as the inferior border of the spinous process of the tenth thoracic vertebra (T10), 1.5 B- cun lateral to the posterior median line.","In the upper back region, at the same level as the inferior border of the spinous process of the tenth thoracic vertebra (T10), 1.5 B-cun lateral to the posterior median line.",closed the erroneous space in 'B- cun' to 'B-cun'.
BL 20,"In the upper back region, at the same level as the inferior border of the spinous process of the 11th thoracic vertebra (T11), 1.5 B-cun lateral to the posterior median line.","In the upper back region, at the same level as the inferior border of the spinous process of the 11th thoracic vertebra (T11), 1.5 B-cun lateral to the posterior median line.",No changes needed.
BL 21,"In the upper back region, at the same level as the inferior border of the spinous process of the 12th thoracic vertebra (T12), 1.5 B- cun lateral to the posterior median line.","In the upper back region, at the same level as the inferior border of the spinous process of the 12th thoracic vertebra (T12), 1.5 B-cun lateral to the posterior median line.",closed the erroneous space in 'B- cun' to 'B-cun'.
