Label,Indications-extracted,indications-normalized,What Changed
SI 3,"Pain and rigidity of the neck, tinnitus, deafness, sore throat, mania, malaria, acute lumbar sprain, night sweating, febrile diseases, contracture and numbness of the fingers, pain in the shoulder and elbow.","pain in the neck, rigidity of the neck, tinnitus, deafness, sore throat, mania, malaria, acute lumbar sprain, night sweat, febrile disease, contracture of the fingers, numbness of the fingers, pain in the shoulder, pain in the elbow","Removed trailing period; split 'pain and rigidity of the neck', 'contracture and numbness of the fingers', and 'pain in the shoulder and elbow' into separate items."
SI 4,"Febrile diseases with anhidrosis, headache, rigidity of the neck, contracture of the fingers, pain in the wrist, jaundice.","febrile disease with anhidrosis, headache, rigidity of the neck, contracture of the fingers, pain in the wrist, jaundice",Removed trailing period.
SI 5,"Swelling of the neck and submandibular region, pain of the hand and wrist, febrile diseases.","swelling of the neck, swelling of the submandibular region, pain of the hand, pain of the wrist, febrile disease",Removed trailing period; split 'swelling of the neck and submandibular region' and 'pain of the hand and wrist' into separate items.
SI 6,"Blurring of vision, pain in the shoulder, elbow and arm.","blurred vision, pain in the shoulder, pain in the elbow, pain in the arm","Removed trailing period; split 'pain in the shoulder, elbow and arm' into separate items."
SI 7,"Neck rigidity, headache, dizziness, spasmodic pain in the elbow and fingers, febrile diseases, mania.","neck rigidity, headache, dizziness, spasmodic pain in the elbow, spasmodic pain in the fingers, febrile disease, mania",Removed trailing period; split 'spasmodic pain in the elbow and fingers' into separate items.
SI 8,"Headache, swelling of the cheek, pain in the nape, shoulder, arm and elbow, epilepsy.","headache, swelling of the cheek, pain in the nape, pain in the shoulder, pain in the arm, pain in the elbow, epilepsy","Removed trailing period; split 'pain in the nape, shoulder, arm and elbow' into separate items."
SI 9,"Pain in the scapular region, motor impairment of the hand and arm.","pain in the scapular region, motor impairment of the hand, motor impairment of the arm",Removed trailing period; split 'motor impairment of the hand and arm' into separate items.
SI 10,"Swelling of the shoulder, aching and weakness of the shoulder and arm.","swelling of the shoulder, aching of the shoulder, aching of the arm, weakness of the shoulder, weakness of the arm",Removed trailing period; split 'aching and weakness of the shoulder and arm' into separate condition/location combinations.
SI 11,"Pain in the scapular region, pain in the lateroposterior aspect of the elbow and arm, asthma.","pain in the scapular region, pain in the lateroposterior aspect of the elbow, pain in the lateroposterior aspect of the arm, asthma",Removed trailing period; split 'pain in the lateroposterior aspect of the elbow and arm' into separate items.
SI 12,"Pain in the scapular region, numbness and aching of the upper extremities, motor impairment of the shoulder and arm.","pain in the scapular region, numbness of the upper extremities, aching of the upper extremities, motor impairment of the shoulder, motor impairment of the arm",Removed trailing period; split 'numbness and aching of the upper extremities' and 'motor impairment of the shoulder and arm' into separate items.
SI 13,Pain and stiffness of the scapular region.,"pain in the scapular region, stiffness of the scapular region",Removed trailing period; split 'pain and stiffness of the scapular region' into separate items.
SI 14,"Aching of the shoulder and back, pain and rigidity of the neck.","aching of the shoulder, aching of the back, pain in the neck, rigidity of the neck",Removed trailing period; split 'aching of the shoulder and back' and 'pain and rigidity of the neck' into separate items.
SI 15,,,
SI 16,"Sore throat, sudden loss of voice, deafness, tinnitus, stiffness and pain of the neck.","sore throat, sudden loss of voice, deafness, tinnitus, stiffness of the neck, pain in the neck","Removed trailing period; split 'stiffness and pain of the neck' into 'stiffness of the neck, pain in the neck'."
SI 17,"Deafness, tinnitus, sore throat, swelling of the cheek, foreign body sensation in the throat, goiter.","deafness, tinnitus, sore throat, swelling of the cheek, foreign body sensation in the throat, goiter",Removed trailing period.
SI 18,"Facial paralysis, twitching of eyelids, pain in the face, toothache, swelling of the cheek, yellowish sclera.","facial paralysis, eyelid twitching, pain in the face, toothache, swelling of the cheek, yellowish sclera",Removed trailing period.
SI 19,"Deafness, tinnitus, otorrhea, motor impairment of the mandibular joint, toothache.","deafness, tinnitus, otorrhea, motor impairment of the mandibular joint, toothache",Removed trailing period.
,,,
BL 1,"Redness, swelling and pain of the eye, itching of the canthus, lacrimation, night blindness, color blindness, blurring of vision, myopia.","redness of the eye, swelling of the eye, pain in the eye, itching of the canthus, lacrimation, night blindness, color blindness, blurred vision, myopia","Removed trailing period; split 'redness, swelling and pain of the eye' into separate items."
BL 2,"Headache, blurring and failing of vision, pain in the supraorbital region, lacrimation, redness, swelling and pain of the eye, twitching of eyelids, glaucoma.","headache, blurred vision, failing vision, pain in the supraorbital region, lacrimation, redness of the eye, swelling of the eye, pain in the eye, eyelid twitching, glaucoma","Removed trailing period; split 'blurred and failing vision' and 'redness, swelling and pain of the eye' into separate items."
BL 3,"Headache, giddiness, epilepsy, nasal obstruction.","headache, giddiness, epilepsy, nasal obstruction",Removed trailing period.
BL 4,"Headache, nasal obstruction, epistaxis, blurring and failing of vision.","headache, nasal obstruction, epistaxis, blurred vision, failing vision","Removed trailing period; split 'blurred and failing vision' into 'blurred vision, failing vision'."
BL 5,"Headache, blurring of vision, epilepsy, convulsion.","headache, blurred vision, epilepsy, convulsion",Removed trailing period.
BL 6,"Headache, blurring of vision, nasal obstruction.","headache, blurred vision, nasal obstruction",Removed trailing period.
BL 7,"Headache, giddiness, nasal obstruction, epistaxis, rhinorrhea.","headache, giddiness, nasal obstruction, epistaxis, rhinorrhea",Removed trailing period.
BL 8,"Dizziness, blurring of vision, tinnitus, mania.","dizziness, blurred vision, tinnitus, mania",Removed trailing period.
BL 9,"Headache and neck pain, dizziness, ophthalmalgia, nasal obstruction.","headache, neck pain, dizziness, ophthalmalgia, nasal obstruction","Removed trailing period; split 'headache and neck pain' into 'headache, neck pain'."
BL 10,"Headache, nasal obstruction, sore throat, neck rigidity, pain in the shoulder and back.","headache, nasal obstruction, sore throat, neck rigidity, pain in the shoulder, pain in the back",Removed trailing period; split 'pain in the shoulder and back' into separate items.
BL 11,"Headache, pain in the neck and back, pain and soreness in the scapular region, cough, fever, neck rigidity.","headache, pain in the neck, pain in the back, pain in the scapular region, soreness in the scapular region, cough, fever, neck rigidity",Removed trailing period; split 'pain in the neck and back' and 'pain and soreness in the scapular region' into separate items.
BL 12,"Common cold, cough, fever and headache, neck rigidity, backache.","common cold, cough, fever, headache, neck rigidity, backache","Removed trailing period; split 'fever and headache' into 'fever, headache'."
BL 13,"Cough, asthma, chest pain, spitting of blood, afternoon fever, night sweating.","cough, asthma, chest pain, spitting of blood, afternoon fever, night sweat",Removed trailing period.
BL 14,"Cough, cardiac pain, palpitation, stuffy chest, vomiting.","cough, cardiac pain, palpitation, stuffy chest, vomiting",Removed trailing period.
BL 15,"Cardiac pain, panic, loss of memory, palpitation, cough, spitting of blood, nocturnal emission, night sweating, mania, epilepsy.","cardiac pain, panic, loss of memory, palpitation, cough, spitting of blood, nocturnal emission, night sweat, mania, epilepsy",Removed trailing period.
BL 16,,,
BL 17,"Vomiting, hiccup, belching, difficulty in swallowing, asthma, cough, spitting of blood, afternoon fever, night sweating, measles.","vomiting, hiccup, belching, difficulty in swallowing, asthma, cough, spitting of blood, afternoon fever, night sweat, measles",Removed trailing period.
BL 18,"Jaundice, pain in the hypochondriac region, redness of the eye, blurring of vision, night blindness, mental disorders, epilepsy, backache, spitting of blood, epistaxis.","jaundice, pain in the hypochondriac region, redness of the eye, blurred vision, night blindness, mental disorder, epilepsy, backache, spitting of blood, epistaxis",Removed trailing period.
BL 19,"Jaundice, bitter taste of the mouth, pain in the chest and hypochondriac region, pulmonary tuberculosis, afternoon fever.","jaundice, bitter taste of the mouth, pain in the chest, pain in the hypochondriac region, pulmonary tuberculosis, afternoon fever",Removed trailing period; split 'pain in the chest and hypochondriac region' into separate items.
BL 20,"Epigastric pain, abdominal distension, jaundice, vomiting, diarrhea, dysentery, bloody stools, profuse menstruation, edema, anorexia, backache.","epigastric pain, abdominal distension, jaundice, vomiting, diarrhea, dysentery, bloody stools, profuse menstruation, edema, anorexia, backache",Removed trailing period.
BL 21,"Pain in the chest and hypochondriac and epigastric regions, anorexia, abdominal distension, borborygmus, diarrhea, nausea, vomiting.","pain in the chest, pain in the hypochondriac region, pain in the epigastric region, anorexia, abdominal distension, borborygmus, diarrhea, nausea, vomiting",Removed trailing period; split 'pain in the chest and hypochondriac and epigastric regions' into separate items.
BL 22,"Borborygmus, abdominal distension, indigestion, vomiting, diarrhea, dysentery, edema, pain and stiffness of the lower back.","borborygmus, abdominal distension, indigestion, vomiting, diarrhea, dysentery, edema, pain in the lower back, stiffness of the lower back",Removed trailing period; split 'pain and stiffness of the lower back' into separate items.
BL 23,"Nocturnal emission, impotence, enuresis, irregular menstruation, leukorrhea, low back pain, weakness of the knee, blurring of vision, dizziness, tinnitus, deafness, edema, asthma, diarrhea.","nocturnal emission, impotence, enuresis, irregular menstruation, leukorrhea, low back pain, weakness of the knee, blurred vision, dizziness, tinnitus, deafness, edema, asthma, diarrhea",Removed trailing period.
BL 24,"Low back pain, irregular menstruation, dysmenorrhea, asthma.","low back pain, irregular menstruation, dysmenorrhea, asthma",Removed trailing period.
BL 25,"Low back pain, borborygmus, abdominal distension, diarrhea, constipation, muscular atrophy, pain, numbness and motor impairment of the lower extremities, sciatica.","low back pain, borborygmus, abdominal distension, diarrhea, constipation, muscular atrophy of the lower extremities, pain in the lower extremities, numbness of the lower extremities, motor impairment of the lower extremities, sciatica","Removed trailing period; split 'muscular atrophy, pain, numbness and motor impairment of the lower extremities' into separate items."
BL 26,,,
BL 27,,,
BL 28,,,
BL 29,"Dysentery, hernia, stiffness and pain of the lower back.","dysentery, hernia, stiffness of the lower back, pain in the lower back",Removed trailing period; split 'stiffness and pain of the lower back' into separate items.
BL 30,"Enuresis, pain due to hernia, morbid leukorrhea, irregular menstruation, cold sensation and pain of the lower back, dysuria, constipation, tenesmus, prolapse of the rectum.","enuresis, pain due to hernia, morbid leukorrhea, irregular menstruation, cold sensation of the lower back, pain in the lower back, dysuria, constipation, tenesmus, prolapse of the rectum",Removed trailing period; split 'cold sensation and pain of the lower back' into separate items.
BL 31,"Low back pain, dysuria, constipation, irregular menstruation, morbid leukorrhea, prolapse of the uterus.","low back pain, dysuria, constipation, irregular menstruation, morbid leukorrhea, prolapse of the uterus",Removed trailing period.
BL 32,"Low back pain, hernia, irregular menstruation, leukorrhea, dysmenorrhea, nocturnal emission, impotence, enuresis, dysuria, muscular atrophy, pain, numbness and motor impairment of the lower extremities.","low back pain, hernia, irregular menstruation, leukorrhea, dysmenorrhea, nocturnal emission, impotence, enuresis, dysuria, muscular atrophy of the lower extremities, pain in the lower extremities, numbness of the lower extremities, motor impairment of the lower extremities","Removed trailing period; split 'muscular atrophy, pain, numbness and motor impairment of the lower extremities' into separate items."
BL 33,"Low back pain, constipation, diarrhea, dysuria, irregular menstruation, morbid leukorrhea.","low back pain, constipation, diarrhea, dysuria, irregular menstruation, morbid leukorrhea",Removed trailing period.
BL 34,"Low back pain, lower abdominal pain, dysuria, constipation, morbid leukorrhea.","low back pain, lower abdominal pain, dysuria, constipation, morbid leukorrhea",Removed trailing period.
BL 35,"Dysentery, bloody stools, diarrhea, hemorrhoids, impotence, morbid leukorrhea.","dysentery, bloody stools, diarrhea, hemorrhoids, impotence, morbid leukorrhea",Removed trailing period.
BL 36,"Pain in the lower back and gluteal region, constipation, muscular atrophy, pain, numbness and motor impairment of the lower extremities.","pain in the lower back, pain in the gluteal region, constipation, muscular atrophy of the lower extremities, pain in the lower extremities, numbness of the lower extremities, motor impairment of the lower extremities","Removed trailing period; split 'pain in the lower back and gluteal region' and 'muscular atrophy, pain, numbness and motor impairment of the lower extremities' into separate items."
BL 37,"Pain in the lower back and thigh, muscular atrophy, pain, numbness and motor impairment of the lower extremities, hemiplegia.","pain in the lower back, pain in the thigh, muscular atrophy of the lower extremities, pain in the lower extremities, numbness of the lower extremities, motor impairment of the lower extremities, hemiplegia","Removed trailing period; split 'pain in the lower back and thigh' and 'muscular atrophy, pain, numbness and motor impairment of the lower extremities' into separate items."
BL 38,"Numbness of the gluteal and femoral regions, contracture of the tendons in the popliteal fossa.","numbness of the gluteal region, numbness of the femoral region, contracture of the tendons in the popliteal fossa",Removed trailing period; split 'numbness of the gluteal and femoral regions' into separate items.
BL 39,"Stiffness and pain of the lower back, distension and fullness of the lower abdomen, edema, dysuria, cramp of the leg and foot.","stiffness of the lower back, pain in the lower back, distension of the lower abdomen, fullness of the lower abdomen, edema, dysuria, cramp of the leg, cramp of the foot","Removed trailing period; split 'stiffness and pain of the lower back', 'distension and fullness of the lower abdomen', and 'cramp of the leg and foot' into separate items."
BL 40,"Low back pain, motor impairment of the hip joint, contracture of the tendons in the popliteal fossa, muscular atrophy, pain, numbness and motor impairment of the lower extremities, hemiplegia, abdominal pain, vomiting, diarrhea, erysipelas.","low back pain, motor impairment of the hip joint, contracture of the tendons in the popliteal fossa, muscular atrophy of the lower extremities, pain in the lower extremities, numbness of the lower extremities, motor impairment of the lower extremities, hemiplegia, abdominal pain, vomiting, diarrhea, erysipelas","Removed trailing period; split 'muscular atrophy, pain, numbness and motor impairment of the lower extremities' into separate items."
BL 41,"Stiffness and pain of the shoulder, back and neck, numbness of the elbow and arm.","stiffness of the shoulder, stiffness of the back, stiffness of the neck, pain in the shoulder, pain in the back, pain in the neck, numbness of the elbow, numbness of the arm","Removed trailing period; split 'stiffness and pain of the shoulder, back and neck' and 'numbness of the elbow and arm' into separate items."
BL 42,"Pulmonary tuberculosis, hemoptysis, cough, asthma, neck rigidity, pain in the shoulder and back.","pulmonary tuberculosis, hemoptysis, cough, asthma, neck rigidity, pain in the shoulder, pain in the back",Removed trailing period; split 'pain in the shoulder and back' into separate items.
BL 43,"Pulmonary tuberculosis, cough, asthma, spitting of blood, night sweating, poor memory, nocturnal emisSIon.","pulmonary tuberculosis, cough, asthma, spitting of blood, night sweat, poor memory, nocturnal emission",Removed trailing period.
BL 44,"Asthma, cardiac pain, palpitation, stuffy chest, cough, stiffness and pain of the back.","asthma, cardiac pain, palpitation, stuffy chest, cough, stiffness of the back, pain in the back",Removed trailing period; split 'stiffness and pain of the back' into separate items.
BL 45,"Cough, asthma, pain of the shoulder and back.","cough, asthma, pain in the shoulder, pain in the back",Removed trailing period; split 'pain of the shoulder and back' into separate items.
BL 46,"Dysphagia, hiccup, vomiting, belching, pain and stiffness of the back.","dysphagia, hiccup, vomiting, belching, pain in the back, stiffness of the back",Removed trailing period; split 'pain and stiffness of the back' into separate items.
BL 47,"Pain in the chest and hypochondriac region, back pain, vomiting, diarrhea.","pain in the chest, pain in the hypochondriac region, back pain, vomiting, diarrhea",Removed trailing period; split 'pain in the chest and hypochondriac region' into separate items.
BL 48,"Borborygmus, abdominal pain, diarrhea, pain in the hypochondriac region, jaundice.","borborygmus, abdominal pain, diarrhea, pain in the hypochondriac region, jaundice",Removed trailing period.
BL 49,"Abdominal distension, borborygmus, vomiting, diarrhea, difficulty in swallowing.","abdominal distension, borborygmus, vomiting, diarrhea, difficulty in swallowing",Removed trailing period.
BL 50,"Abdominal distension, pain in the epigastric region and back, infantile indigestion.","abdominal distension, pain in the epigastric region, pain in the back, infantile indigestion",Removed trailing period; split 'pain in the epigastric region and back' into separate items.
BL 51,"Abdominal pain, constipation, abdominal mass.","abdominal pain, constipation, abdominal mass",Removed trailing period.
BL 52,"Nocturnal emission, impotence, enuresis, frequency of urination, dysuria, irregular menstruation, pain in the back and knee, edema.","nocturnal emission, impotence, enuresis, frequency of urination, dysuria, irregular menstruation, pain in the back, pain in the knee, edema",Removed trailing period; split 'pain in the back and knee' into separate items.
BL 53,"Borborygmus, abdominal distension, pain in the lower back, anuria.","borborygmus, abdominal distension, pain in the lower back, anuria",Removed trailing period.
BL 54,"Pain in the lumbosacral region, muscular atrophy, motor impairment of the lower extremities, dysuria, swelling around external genitalia, hemorrhoids, constipation.","pain in the lumbosacral region, muscular atrophy, motor impairment of the lower extremities, dysuria, swelling around external genitalia, hemorrhoids, constipation",Removed trailing period.
BL 55,"Low back pain, pain and paralysis of the lower extremities.","low back pain, pain in the lower extremities, paralysis in the lower extremities",Removed trailing period; split 'pain and paralysis of the lower extremities' into separate items.
BL 56,"Spasm of the gastrocnemius, hemorrhoids, acute lower back pam.","spasm of the gastrocnemius, hemorrhoids, acute lower back pain",Removed trailing period.
BL 57,"Low back pain, spasm of the gastrocnemius, hemorrhoids, constipation, beriberi.","low back pain, spasm of the gastrocnemius, hemorrhoids, constipation, beriberi",Removed trailing period.
BL 58,"Headache, blurring of vision, nasal obstruction, epistaxis, back pain, hemorrhoids, weakness of the leg.","headache, blurred vision, nasal obstruction, epistaxis, back pain, hemorrhoids, weakness of the leg",Removed trailing period.
BL 59,"Heavy sensation of the head, headache, low back pain, redness and swelling of the external malleolus, paralysis of the lower extremities.","heavy sensation of the head, headache, low back pain, redness of the external malleolus, swelling of the external malleolus, paralysis in the lower extremities",Removed trailing period; split 'redness and swelling of the external malleolus' into separate items.
BL 60,"Headache, blurring of vision, neck rigidity, epistaxis, pain in the shoulder, back and arm, swelling and pain of the heel, difficult labour, epilepsy.","headache, blurred vision, neck rigidity, epistaxis, pain in the shoulder, pain in the back, pain in the arm, swelling of the heel, pain in the heel, difficult labor, epilepsy","Removed trailing period; split 'pain in the shoulder, back and arm' and 'swelling and pain of the heel' into separate items."
BL 61,"Muscular atrophy and weakness of the lower extremities, pain in the heel.","muscular atrophy of the lower extremities, weakness of the lower extremities, pain in the heel",Removed trailing period; split 'muscular atrophy and weakness of the lower extremities' into separate items.
BL 62,"Epilepsy, mania, headache, dizziness, insomnia, backache, aching of the leg.","epilepsy, mania, headache, dizziness, insomnia, backache, aching of the leg",Removed trailing period.
BL 63,"Mania, epilepsy, infantile convulsion, backache, pain the external malleolus, motor impairment and pain of the lower extremities.","mania, epilepsy, infantile convulsion, backache, pain in the external malleolus, motor impairment of the lower extremities, pain in the lower extremities",Removed trailing period; split 'motor impairment and pain of the lower extremities' into separate items.
BL 64,"Headache, neck rigidity, pain in the lower back and thigh, epilepsy.","headache, neck rigidity, pain in the lower back, pain in the thigh, epilepsy",Removed trailing period; split 'pain in the lower back and thigh' into separate items.
BL 65,"Mania, headache, neck rigidity, blurring of vision, backache, pain in the lower extremities.","mania, headache, neck rigidity, blurred vision, backache, pain in the lower extremities",Removed trailing period.
BL 66,"Headache, neck rigidity, blurring of vision, epistaxis, mania.","headache, neck rigidity, blurred vision, epistaxis, mania",Removed trailing period.
BL 67,"Headache, nasal obstruction, epistaxis, ophthalmalgia, malposition of fetus, difficult labour, detention of after birth, feverish sensation in the sole.","headache, nasal obstruction, epistaxis, ophthalmalgia, malposition of fetus, difficult labor, detention of after birth, feverish sensation in the sole",Removed trailing period.
,,,
KI 1,"Headache, blurring of vision, dizziness, sore throat, dryness of the tongue, loss of voice, dysuria, infantile, convulsions, feverish sensation in the sole, loss of consciousness.","headache, blurred vision, dizziness, sore throat, dryness of the tongue, loss of voice, dysuria, infantile convulsion, feverish sensation in the sole, loss of consciousness",Removed trailing period.
KI 2,"Pruritus vulvae, prolapse of uterus, irregular menstruation, nocturnal emission, hemoptysis, thirst, diarrhea, swelling and pain of the dorsum of foot, acute infantile omphalitis.","pruritus vulvae, prolapse of the uterus, irregular menstruation, nocturnal emission, hemoptysis, thirst, diarrhea, swelling of the dorsum of foot, pain in the dorsum of foot, acute infantile omphalitis",Removed trailing period; split 'swelling and pain of the dorsum of foot' into separate items.
KI 3,"Sore throat, toothache, deafness, tinnitus, dizziness, spitting of blood, asthma, thirst, irregular menstruation, insomnia, nocturnal emission, impotence, frequency of micturition, pain in the lower back.","sore throat, toothache, deafness, tinnitus, dizziness, spitting of blood, asthma, thirst, irregular menstruation, insomnia, nocturnal emission, impotence, frequency of micturition, pain in the lower back",Removed trailing period.
KI 4,"Spitting of blood, asthma, stiffness and pain of the lower back, dysuria, constipation, pain in the heel, dementia.","spitting of blood, asthma, stiffness of the lower back, pain in the lower back, dysuria, constipation, pain in the heel, dementia",Removed trailing period; split 'stiffness and pain of the lower back' into separate items.
KI 5,"Amenorrhea, irregular menstruation, dysmenorrhea, prolapse of uterus, dysuria, blurring of vision.","amenorrhea, irregular menstruation, dysmenorrhea, prolapse of the uterus, dysuria, blurred vision",Removed trailing period.
KI 6,"Irregular menstruation, morbid leukorrhea, prolapse of uterus, pruritus vulvae, frequency of micturition, retention of urine, constipation, epilepsy, insomnia, sore throat, asthma.","irregular menstruation, morbid leukorrhea, prolapse of the uterus, pruritus vulvae, frequency of micturition, retention of urine, constipation, epilepsy, insomnia, sore throat, asthma",Removed trailing period.
KI 7,"Edema, abdominal distension, diarrhea, borborygmus, muscular atrophy of the leg, night sweating, spontaneous sweating, febrile diseases without sweating.","edema, abdominal distension, diarrhea, borborygmus, muscular atrophy of the leg, night sweat, spontaneous sweating, febrile disease without sweating",Removed trailing period.
KI 8,"Irregular menstruation, dysmenorrhea, uterine bleeding, prolapse of uterus, diarrhea, constipation, pain and swelling of testis.","irregular menstruation, dysmenorrhea, uterine bleeding, prolapse of the uterus, diarrhea, constipation, pain in testis, swelling of testis",Removed trailing period; split 'pain and swelling of testis' into separate items.
KI 9,"Mental disorders, pain in the foot and lower leg, hernia.","mental disorder, pain in the foot, pain in the lower leg, hernia",Removed trailing period; split 'pain in the foot and lower leg' into separate items.
KI 10,"Impotence, hernia, uterine bleeding, dysuria, pain in the knee and popliteal fossa, mental disorders.","impotence, hernia, uterine bleeding, dysuria, pain in the knee, pain in the popliteal fossa, mental disorder",Removed trailing period; split 'pain in the knee and popliteal fossa' into separate items.
KI 11,"Fullness and pain of the lower abdomen, dysuria enuresis, nocturnal emission, impotence, pain of genitalia.","fullness of the lower abdomen, pain in the lower abdomen, dysuria, enuresis, nocturnal emission, impotence, pain of genitalia",Removed trailing period; split 'fullness and pain of the lower abdomen' into separate items.
KI 12,"Nocturnal emission, impotence, morbid leukorrhea, pain in the external genitalia, prolapse of uterus.","nocturnal emission, impotence, morbid leukorrhea, pain in the external genitalia, prolapse of the uterus",Removed trailing period.
KI 13,"Irregular menstruation, dysmenorrhea, dysuria, abdominal pain, diarrhea.","irregular menstruation, dysmenorrhea, dysuria, abdominal pain, diarrhea",Removed trailing period.
KI 14,"Abdominal pain and distension, diarrhea, nocturnal emission, irregular menstruation, dysmenorrhea, postpartum abdominal pain.","abdominal pain, abdominal distension, diarrhea, nocturnal emission, irregular menstruation, dysmenorrhea, postpartum abdominal pain",Removed trailing period; split 'abdominal pain and distension' into separate items.
KI 15,"Irregular menstruation, abdominal pain, constipation.","irregular menstruation, abdominal pain, constipation",Removed trailing period.
KI 16,"Abdominal pain and distension, vomiting, constipation, diarrhea.","abdominal pain, abdominal distension, vomiting, constipation, diarrhea",Removed trailing period; split 'abdominal pain and distension' into separate items.
KI 17,"Abdominal pain, diarrhea, constipation.","abdominal pain, diarrhea, constipation",Removed trailing period.
KI 18,"Vomiting, abdominal pain, constipation, postpartum abdominal pain, sterility.","vomiting, abdominal pain, constipation, postpartum abdominal pain, sterility",Removed trailing period.
KI 19,"Borborygmus, abdominal pain, epigastric pain, constipation, vomiting.","borborygmus, abdominal pain, epigastric pain, constipation, vomiting",Removed trailing period.
KI 20,"Abdominal pain and distension, vomiting, indigestion.","abdominal pain, abdominal distension, vomiting, indigestion",Removed trailing period; split 'abdominal pain and distension' into separate items.
KI 21,"Abdominal pain and distension, indigestion, vomiting, diarrhea, nausea, morning sickness..","abdominal pain, abdominal distension, indigestion, vomiting, diarrhea, nausea, morning sickness",Removed trailing period; split 'abdominal pain and distension' into separate items.
KI 22,"Cough, asthma, distension and fullness in the chest and hypochondriac region vomiting, anorexia.","cough, asthma, distension in the chest, distension in the hypochondriac region, fullness in the chest, fullness in the hypochondriac region, vomiting, anorexia",Removed trailing period; split 'distension and fullness in the chest and hypochondriac region' into separate condition/location combinations.
KI 23,"Cough, asthma, fullness in the chest and hypochondriac region, mastitis.","cough, asthma, fullness in the chest, fullness in the hypochondriac region, mastitis",Removed trailing period; split 'fullness in the chest and hypochondriac region' into separate items.
KI 24,"Cough, asthma, fullness in the chest and hypochondriac region, mastitis.","cough, asthma, fullness in the chest, fullness in the hypochondriac region, mastitis",Removed trailing period; split 'fullness in the chest and hypochondriac region' into separate items.
KI 25,"Cough, asthma, chest pain.","cough, asthma, chest pain",Removed trailing period.
KI 26,"Cough, asthma, accumulation of phlegm, fullness in the chest and hypochondriac region.","cough, asthma, accumulation of phlegm, fullness in the chest, fullness in the hypochondriac region",Removed trailing period; split 'fullness in the chest and hypochondriac region' into separate items.
KI 27,"Cough, asthma, chest pain.","cough, asthma, chest pain",Removed trailing period.
,,,
PC 1,"Suffocating sensation in the chest, pain in the hypochondriac region, swelling and pain of the axillary regIon.","suffocating sensation in the chest, pain in the hypochondriac region, swelling of the axillary region, pain in the axillary region",Removed trailing period; split 'swelling and pain of the axillary region' into separate items.
PC 2,"Cardiac pain, distension of the hypochondriac region, cough, pain in the chest, back and the medial aspect of the arm.","cardiac pain, distension of the hypochondriac region, cough, pain in the chest, pain in the back, pain in the medial aspect of the arm","Removed trailing period; split 'pain in the chest, back and the medial aspect of the arm' into separate items."
PC 3,"Cardiac pain, palpitation, febrile diseases, irritability, stomachache, vomiting, pain in the elbow and arm, tremor of the hand and arm.","cardiac pain, palpitation, febrile disease, irritability, stomachache, vomiting, pain in the elbow, pain in the arm, tremor of the hand, tremor of the arm",Removed trailing period; split 'pain in the elbow and arm' and 'tremor of the hand and arm' into separate items.
PC 4,"Cardiac pain, palpitation, epistaxis, hematemesis, haemoptysis chest pain, furuncle, epilepsy.","cardiac pain, palpitation, epistaxis, hematemesis, hemoptysis, chest pain, furuncle, epilepsy",Removed trailing period.
PC 5,"Cardiac pain, palpitation, stomachache, vomiting, febrile diseases, irritability, malaria, mental disorders, epilepsy, swelling of the axilla, contracture of the elbow and arm.","cardiac pain, palpitation, stomachache, vomiting, febrile disease, irritability, malaria, mental disorder, epilepsy, swelling of the axilla, contracture of the elbow, contracture of the arm",Removed trailing period; split 'contracture of the elbow and arm' into separate items.
PC 6,"Cardiac pain, palpitation, stuffy chest, pain in the hypochondriac region, stomachache, nausea, vomiting, hiccup, mental disorders epilepsy, insomnia, febrile diseases, irritability, malaria, contracture and pain of the elbow and arm.","cardiac pain, palpitation, stuffy chest, pain in the hypochondriac region, stomachache, nausea, vomiting, hiccup, mental disorder, epilepsy, insomnia, febrile disease, irritability, malaria, contracture of the elbow, contracture of the arm, pain in the elbow, pain in the arm",Removed trailing period; split 'contracture and pain of the elbow and arm' into separate condition/location combinations.
PC 7,"Cardiac pain, palpitation, stomachache, vomiting, mental disorders, epilepsy, stuffy chest, pain in the hypochondriac region, convulsion, insomnia, irritability, foul breath.","cardiac pain, palpitation, stomachache, vomiting, mental disorder, epilepsy, stuffy chest, pain in the hypochondriac region, convulsion, insomnia, irritability, foul breath",Removed trailing period.
PC 8,"Cardiac pain, mental disorder, epilepsy, gastritis, foul breath, fungus infection of the hand and foot, vomiting, nausea.","cardiac pain, mental disorder, epilepsy, gastritis, foul breath, fungus infection of the hand, fungus infection of the foot, vomiting, nausea",Removed trailing period; split 'fungus infection of the hand and foot' into separate items.
PC 9,"Cardiac pain, palpitation, loss of consciousness, aphasia with stiffness and swelling of the tongue, febrile diseases, heat stroke, convulsion, feverish sensation in the palm.","cardiac pain, palpitation, loss of consciousness, aphasia with stiffness of the tongue, aphasia with swelling of the tongue, febrile disease, heat stroke, convulsion, feverish sensation in the palm",Removed trailing period; split 'aphasia with stiffness and swelling of the tongue' into separate items.
,,,
TE 1,"Headache, redness of the eyes, sore throat, stiffness of the tongue, febrile diseases, irritability.","headache, redness of the eye, sore throat, stiffness of the tongue, febrile disease, irritability",Removed trailing period.
TE 2,"Headache, redness of the eyes, sudden deafness, sore throat, malaria, pain in the arm.","headache, redness of the eye, sudden deafness, sore throat, malaria, pain in the arm",Removed trailing period.
