"Special Point","Label","Superclass","Description","Reference","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point","Back-Shu Point","Special Point on the Head and Trunk","Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. It is stated in Chapter 51 of Miraculous Pivot that ""in the Back-Shu Points you are looking for the reactionary spots of tenderness and soreness, or the points on which pressure exerted relieves pain and discomforts of the patient"". Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of the Liver","Back-Shu Point of the Liver","Back-Shu Point","The Back-Shu Point of the Liver meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of the Gallbladder","Back-Shu Point of the Gallbladder","Back-Shu Point","The Back-Shu Point of the Gallbladder meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of the Spleen","Back-Shu Point of the Spleen","Back-Shu Point","The Back-Shu Point of the Spleen meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of the Stomach","Back-Shu Point of the Stomach","Back-Shu Point","The Back-Shu Point of the Stomach meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of Triple Energizer","Back-Shu Point of the Triple Energizer","Back-Shu Point","The Back-Shu Point of the Triple Energizer meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of the Kidney","Back-Shu Point of the Kidney","Back-Shu Point","The Back-Shu Point of the Kidney meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of the Large Intestine","Back-Shu Point of the Large Intestine","Back-Shu Point","The Back-Shu Point of the Large Intestine meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of the Small Intestine","Back-Shu Point of the Small Intestine","Back-Shu Point","The Back-Shu Point of the Small Intestine meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of the Bladder","Back-Shu Point of the Bladder","Back-Shu Point","The Back-Shu Point of the Bladder meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of the Lung","Back-Shu Point of the Lung","Back-Shu Point","The Back-Shu Point of the Lung meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of the Pericardium","Back-Shu Point of the Pericardium","Back-Shu Point","The Back-Shu Point of the Pericardium meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Back-Shu Point of the Heart","Back-Shu Point of the Heart","Back-Shu Point","The Back-Shu Point of the Heart meridian. Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Confluent Point","Confluent Point","Special Point on the Limbs","Confluent Points refer to the eight points on the limbs where the main meridians communicate with the eight extra meridians. They are Neiguan (PC 6). Gongsun (SP 4), Houxi (SJ 3), Shenmai (BL 62). Waiguan (TE 5), Zulinqi (GB 41 ), Lieque (LU 7) and Zhaohai (KI 6), which are respectively connected with the Yin Link Vessel. Thoroughfare Vessel, governor Vessel, Yang Heel Vessel. Yang Link Vessel, Belt Vessel, Conception Vessel and Yin Heel Vessel. The Eight Confluent Points are used to treat a variety of disorders of the corresponding eight extra meridians.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
