"Artcle-URI","Article-Title","Condition-Extracted-Western","Normalized-Condition-Western","Condition-Extracted-TCM","Normalized-Condition-TCM","Comment from TEAM-Core","MONDO-OR-HP-Term","Exact-OR-Synonym","MONDO-OR-HP-Term-URI","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.ijcard.2014.07.011","A randomized controlled trial of acupuncture in stable ischemic heart disease patients","Stable Ischemic Heart Disease (SIHD)","Stable Ischemic Heart Disease (SIHD)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jad.2004.05.009","Preliminary communication Acupuncture: a promising treatment for depression during pregnancy","Depression during pregnancy","Depression during pregnancy","Not specified (the paper does not explicitly mention a TCM condition or symptom)","Not specified","done: TCM","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jad.2004.05.009","Clinical Observation on the Effects of Electroacupuncture at Shaoze (SI 1) in 46 Cases of Postpartum Insufficient Lactation","Postpartum insufficient lactation","Postpartum insufficient lactation","Deficiency of qi and blood Stagnation of the liver-qi","Deficiency of qi and blood Stagnation of the liver-qi","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jad.2006.06.012","A systematic review of randomized controlled trials of acupuncture in the treatment of depression","Depression","Depression","Not specified (the paper does not provide a specific TCM term or condition related to depression)","Not specified (the paper does not provide a specific TCM term or condition related to depression)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jad.2006.07.012","Effects of electroacupuncture and fluoxetine on the density of GTP-binding-proteins in platelet membrane in patients with major depressive disorder","Major Depressive Disorder (MDD)","Major Depressive Disorder (MDD)","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jad.2006.07.012","Electro-acupuncture vs. amitriptyline in the treatment of depressive states","Depression","Depression","insanity (with emotional depression), diseases due to depression","insanity (with emotional depression), diseases due to depression","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jad.2012.04.008","Randomized non-invasive sham-controlled pilot trial of electroacupuncture for postpartum depression","Postpartum depression","Postpartum depression","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jad.2015.01.048","The benefit of combined acupuncture and antidepressant medication for depression: A systematic review and meta-analysis","Depression","Depression","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2011.11.001","Electro-acupuncture Stimulation at Acupoints Reduced the Severity of Hypotension During Anesthesia in Patients Undergoing Liver Transplantation *","End-stage liver disease leading to hypotension during liver transplantation","End-stage liver disease leading to hypotension during liver transplantation","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2012.01.013","Effects of Trigger Point Acupuncture Treatment on Temporomandibular Disorders: A Preliminary Randomized Clinical Trial","Temporomandibular disorders (TMDs), specifically chronic temporomandibular joint myofascial pain","Temporomandibular disorders (TMDs), specifically chronic temporomandibular joint myofascial pain","Not specified (the paper does not provide a TCM equivalent or description for the condition)","Not specified (the paper does not provide a TCM equivalent or description for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2012.12.006","The Effect of Acupuncture on Working Memory and Anxiety *","Not specified (the study focuses on the effects of acupuncture on working memory and anxiety in healthy individuals, not a specific Western medical condition or disease)","Working memory and anxiety symptoms assessment","Not specified (the paper does not explicitly mention a TCM disease or condition, but it focuses on calming the spirit and improving mental function)","Not specified (the paper does not explicitly mention a TCM disease or condition, but it focuses on calming the spirit and improving mental function)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2013.02.002","Randomized Trial of Trigger Point Acupuncture Treatment for Chronic Shoulder Pain: A Preliminary Study","Chronic shoulder pain","Chronic shoulder pain","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2013.04.005","Acupuncture in Preventing Postoperative Nausea and Vomiting: Efficacy of Two Acupuncture Points Versus a Single One","Postoperative nausea and vomiting","Postoperative nausea and vomiting","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2013.10.003","Efficacy of Acupuncture versus Local Methylprednisolone Acetate Injection in De Quervain's Tenosynovitis: A Randomized Controlled Trial","De Quervain's Tenosynovitis","De Quervain's Tenosynovitis","Not specified (the paper does not provide a TCM term for De Quervain's tenosynovitis)","Not specified (the paper does not provide a TCM term for De Quervain's tenosynovitis)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2014.02.005","Electromyographic and Strength Analyses of Activation Patterns of the Wrist Flexor Muscles after Acupuncture","Not specified (the paper does not explicitly mention a specific Western medical condition or disease)","Experimental muscle task","Not specified (the paper does not explicitly state a disease or condition in TCM terminology)","Not specified (the paper does not explicitly state a disease or condition in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2014.06.015","Laser Acupuncture for Treating Musculoskeletal Pain: A Systematic Review with Meta-analysis","Musculoskeletal pain","Musculoskeletal pain","Not specified (the paper does not explicitly mention the conditions in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the conditions in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2014.12.001","Could Acupuncture Be Useful in the Treatment of Temporomandibular Dysfunction?","Temporomandibular dysfunction (TMD)","Temporomandibular dysfunction (TMD)","Yang Liver Ascension","Yang Liver Ascension","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2015.06.010","As Acupressure Decreases Pain, Acupuncture May Improve Some Aspects of Quality of Life for Women with Primary Dysmenorrhea: A Systematic Review with Meta-Analysis","Primary dysmenorrhea","Primary dysmenorrhea","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2016.06.002","Comparison of the Effects of Manual Acupuncture, Laser Acupuncture, and Electromagnetic Field Stimulation at Acupuncture Point BL15 on Heart Rate Variability","Cardiac disorders (coronary heart disease and acute myocardial ischemia)","Cardiac disorders (coronary heart disease and acute myocardial ischemia)","Cardiac disorders (heart diseases)","Cardiac disorders (heart diseases)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2016.07.004","Unilateral and Immediate Stimulation of Acupuncture Points Xiaohai (SI8) and Jianwaishu (SI14) of the Small Intestine Meridian Increases Electromyographic Activity and Strength in the Ipsilateral and Contralateral Upper Trapezius Muscle","Not specified (the study involves healthy volunteers and does not focus on a specific disease or condition)","Healthy volunteers","Not specified (the paper does not mention a specific disease or condition in TCM terminology)","Not specified (the paper does not mention a specific disease or condition in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2016.08.002","Effect of Needling at CV-12 (Zhongwan) on Blood Glucose Levels in Healthy Volunteers: A Pilot Randomized Placebo Controlled Trial","Diabetes mellitus","Diabetes mellitus","Diabetes mellitus","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2016.12.008","A Trial Study of Moxibustion with a Warming Needle on Edema","Edema (specifically orthostatic edema)","Edema (specifically orthostatic edema)","Edema due to Yang weakness of the spleen or kidney, leading to excessive fluid stagnation and dampness retention.","Edema due to Yang weakness of the spleen or kidney, leading to excessive fluid stagnation and dampness retention.","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2017.01.002","Effectiveness of Acupuncture Therapy on Stress in a Large Urban College Population","Stress","Stress","Liver qi stagnation","Liver qi stagnation","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2017.06.003","Immediate Effect of Needling at CV-12 (Zhongwan) Acupuncture Point on Blood Glucose Level in Patients with Type 2 Diabetes Mellitus: A Pilot Randomized Placebo-Controlled Trial","Type 2 Diabetes Mellitus","Type 2 Diabetes Mellitus","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2017.09.001","Analysis of Evidence-Based Autism Symptoms Enhancement by Acupuncture","Autism Spectrum Disorder (ASD)","Autism Spectrum Disorder (ASD)","Not specified (the paper does not provide a specific TCM term for Autism Spectrum Disorder)","Not specified (the paper does not provide a specific TCM term for Autism Spectrum Disorder)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jana.2012.09.006","Acu/Moxa for Distal Sensory Peripheral Neuropathy in HIV: A Randomized Control Pilot Study","Distal Sensory Peripheral Neuropathy (DSP)","Distal Sensory Peripheral Neuropathy (DSP)","Not specified (the paper does not provide a specific TCM term for the condition being studied)","Not specified (the paper does not provide a specific TCM term for the condition being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jbmt.2013.11.009","The effect of dry needling for myofascial trigger points in the neck and shoulders: A systematic review and meta-analysis","Myofascial pain syndrome caused by trigger points (MTrPs)","Myofascial pain syndrome caused by trigger points (MTrPs)","Not specified (the paper does not explicitly mention TCM terminology or conditions, but MTrPs could be related to ""Bi"" syndrome in TCM)","Not specified (the paper does not explicitly mention TCM terminology or conditions, but MTrPs could be related to ""Bi"" syndrome in TCM)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jbmt.2020.04.001","A critical overview of the current myofascial pain literature","Myofascial Pain Syndrome (MPS)","Myofascial Pain Syndrome (MPS)","Not specified (the paper does not explicitly mention TCM terminology or conditions)","Not specified (the paper does not explicitly mention TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jbmt.2021.02.015","Effectiveness of dry needling techniques in patients with knee osteoarthritis: A systematic review and meta-analysis","Knee Osteoarthritis","Knee Osteoarthritis","Not specified (the paper does not use Traditional Chinese Medicine terminology to describe the condition)","Not specified (the paper does not use Traditional Chinese Medicine terminology to describe the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jclinepi.2006.06.014","Randomized trial vs. observational study of acupuncture for migraine found that patient characteristics differed but outcomes were similar","Migraine","Migraine","Not specified (the paper does not provide information on the condition in terms of Traditional Chinese Medicine (TCM) terminology)","Not specified (the paper does not provide information on the condition in terms of Traditional Chinese Medicine (TCM) terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jclinepi.2014.02.021","Clinically meaningful nocebo effect occurs in acupuncture treatment: a systematic review","Low back pain and knee osteoarthritis","Low back pain and knee osteoarthritis","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jclinepi.2014.04.004","Randomized cohort trial was shown to be feasible for evaluating treatments in low back pain","Low back pain (LBP)","Low back pain (LBP)","Not specified (the paper does not provide a TCM equivalent for low back pain)","Not specified (the paper does not provide a TCM equivalent for low back pain)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jcm.2008.07.003","Effects of electrical stimulation of acupuncture points on blood pressure","Hypertension","Hypertension","Not specified (the paper does not provide a specific TCM term for the condition being studied, but it is clear that the focus is on hypertension)","Not specified (the paper does not provide a specific TCM term for the condition being studied, but it is clear that the focus is on hypertension)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jcrs.2006.06.027","Sedative effect of acupuncture during cataract surgery Prospective randomized double-blind study","Cataract","Cataract","Not specified (the paper does not explicitly state the disease/condition in TCM terminology)","Not specified (the paper does not explicitly state the disease/condition in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jdent.2006.09.004","The efficacy of acupuncture in the treatment of temporomandibular joint myofascial pain: A randomised controlled trial","Temporomandibular joint myofascial pain","Temporomandibular joint myofascial pain","Not specified (the paper does not provide a TCM equivalent for TMJ MP)","Not specified (the paper does not provide a TCM equivalent for TMJ MP)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jdent.2011.02.006","Acupuncture for treating temporomandibular joint disorders: A systematic review and meta-analysis of randomized, sham-controlled trials","Temporomandibular joint disorder (TMD)","Temporomandibular joint disorder (TMD)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jebdp.2011.12.001","Acupuncture may be no more effective than sham acupuncture in treating temporomandibular joint disorders","Temporomandibular joint disorder (TMD)","Temporomandibular joint disorder (TMD)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jep.2013.04.045","A clinical trial of acupuncture about time-varying treatment and points selection in primary dysmenorrhea","Primary dysmenorrhea","Primary dysmenorrhea","Excess patterns of dysmenorrhea due to stagnation of the liver-qi","Excess patterns of dysmenorrhea due to stagnation of the liver-qi","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jmpt.2004.12.004","Long-term follow-up of a randomized clinical trial assessing the efficacy of medication, acupuncture, and spinal manipulation for chronic mechanical spinal pain syndromes","Chronic mechanical spinal pain syndromes","Chronic mechanical spinal pain syndromes","Not specified (the paper does not provide a TCM equivalent for the condition being studied)","Not specified (the paper does not provide a TCM equivalent for the condition being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jmpt.2012.12.003","The effects of collateral meridian therapy for knee osteoarthritis pain management: a pilot study","Knee Osteoarthritis (OA)","Knee Osteoarthritis (OA)","Not specified (the paper does not provide a specific TCM term for the disease condition)","Not specified (the paper does not provide a specific TCM term for the disease condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jmpt.2014.06.003","Changes in spasticity, widespread pressure pain sensitivity, and baropodometry after the application of dry needling in patients who have had a stroke: A randomized controlled trial","Poststroke spasticity","Poststroke spasticity","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jmpt.2014.11.007","Inclusion of trigger point dry needling in a multimodal physical therapy program for postoperative shoulder pain: A randomized clinical trial","Postoperative shoulder pain","Postoperative shoulder pain","Not specified (the paper does not provide a TCM equivalent for the condition)","Not specified (the paper does not provide a TCM equivalent for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jns.2010.03.033","Cupping for stroke rehabilitation: A systematic review","Stroke","Stroke","Not specified (the paper focuses on stroke rehabilitation and its symptoms rather than specific TCM conditions)","Not specified (the paper focuses on stroke rehabilitation and its symptoms rather than specific TCM conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jns.2014.04.016","Is acupuncture efficacious therapy in Parkinson's disease?","Parkinson's disease","Parkinson's disease","Not specified (the paper does not explicitly translate Parkinson's disease into TCM terminology)","Not specified (the paper does not explicitly translate Parkinson's disease into TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.joca.2013.05.007","Acupuncture and other physical treatments for the relief of pain due to osteoarthritis of the knee: network meta-analysis","Osteoarthritis of the knee","Osteoarthritis of the knee","Not specified (the paper does not provide a TCM equivalent for osteoarthritis of the knee)","Not specified (the paper does not provide a TCM equivalent for osteoarthritis of the knee)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.joim.2017.12.002","Brain functional connectivity network studies of acupuncture: a systematic review on resting-state fMRI","- Nervous system diseases: Stroke, Bell's palsy, Migraine, Mild cognitive impairment, Alzheimer's disease, Major depressive disorder - Motor system diseases: Carpal tunnel syndrome, Low-back pain, Chronic osteoarthritis - Other diseases: Functional dyspepsia, Hypertension, Overweight, Crohn's disease","- Nervous system diseases: Stroke, Bell's palsy, Migraine, Mild cognitive impairment, Alzheimer's disease, Major depressive disorder - Motor system diseases: Carpal tunnel syndrome, Low-back pain, Chronic osteoarthritis - Other diseases: Functional dyspepsia, Hypertension, Overweight, Crohn's disease","Not specified (the paper does not mention specific TCM conditions or diseases)","Not specified (the paper does not mention specific TCM conditions or diseases)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpag.2007.07.008","Pain in Adolescents and Young Women: Results of a Randomized Sham-Controlled Trial","Chronic pelvic pain in adolescents with endometriosis","Chronic pelvic pain in adolescents with endometriosis","Not specified (the paper does not explicitly state the condition in Traditional Chinese Medicine (TCM) terminology)","Not specified (the paper does not explicitly state the condition in Traditional Chinese Medicine (TCM) terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpain.2004.12.009","A Controlled Trial of Placebo Versus Real Acupuncture","Not specified (the paper does not specify a primary medical condition or disease being studied)","Healthy volunteers","Not specified (the paper focuses on pain management using the LI4 acupoint but does not specify a primary medical condition or disease in TCM terminology)","Not specified (the paper focuses on pain management using the LI4 acupoint but does not specify a primary medical condition or disease in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpain.2008.03.011","Acupuncture for Tension-Type Headache: A Meta-Analysis of Randomized, Controlled Trials","Tension-type headache","Tension-type headache","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpain.2009.08.010","Physician Characteristics and Variation in Treatment Outcomes: Are Better Qualified and Experienced Physicians More Successful in Treating Patients With Chronic Pain With Acupuncture?","Chronic low back pain, headache, pain due to osteoarthritis of the knee or hip, neck pain","Chronic low back pain, headache, pain due to osteoarthritis of the knee or hip, neck pain","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpain.2009.09.013","The Impact of Placebo, Psychopathology, and Expectations on the Response to Acupuncture Needling in Patients with Chronic Low Back Pain","Chronic Low Back Pain","Chronic Low Back Pain","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpain.2010.08.006","Acupuncture for Carpal Tunnel Syndrome: A Systematic Review of Randomized Controlled Trials","Carpal Tunnel Syndrome (CTS)","Carpal Tunnel Syndrome (CTS)","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpain.2010.09.001","A Randomized Clinical Trial of Acupuncture Versus Oral Steroids for Carpal Tunnel Syndrome: A Long-Term Follow-Up","Carpal Tunnel Syndrome (CTS)","Carpal Tunnel Syndrome (CTS)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpainsymman.2006.09.016","Symptom Management with Massage and Acupuncture in Postoperative Cancer Patients: A Randomized Controlled Trial","Cancer (postoperative symptoms)","Cancer (postoperative symptoms)","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpainsymman.2009.11.325","Acupuncture for Treating Uremic Pruritus in Patients with End-Stage Renal Disease: A Systematic Review","Uremic pruritus (UP)","Uremic pruritus (UP)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpainsymman.2010.03.010","Acupuncture for Palliative and Supportive Cancer Care: A Systematic Review of Systematic Reviews","Chemotherapy induced nausea and vomiting","Chemotherapy induced nausea and vomiting","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpsychires.2013.02.004","A 6-week randomized controlled trial with 4-week follow-up of acupuncture combined with paroxetine in patients with major depressive disorder","Major Depressive Disorder (MDD)","Major Depressive Disorder (MDD)","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jsat.2006.02.005","Acupuncture treatment for opiate addiction: A systematic review","Opiate addiction","Opiate addiction","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jsat.2008.08.002","Auricular acupuncture as an adjunct to opiate detoxification treatment: Effects on withdrawal symptoms","Opiate dependence","Opiate dependence","Not specified (the paper does not provide a TCM equivalent for the condition)","Not specified (the paper does not provide a TCM equivalent for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jsat.2011.04.001","Determining the efficacy of auricular acupuncture for reducing anxiety in patients withdrawing from psychoactive drugs","Anxiety associated with withdrawal from psychoactive drugs","Anxiety associated with withdrawal from psychoactive drugs","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jtcvs.2008.07.053","Randomized controlled trial of a special acupuncture technique for pain after thoracotomy","Postthoracotomy pain","Postthoracotomy pain","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jvoice.2004.11.007","A Randomized Treatment-Placebo Study of the Effectiveness of Acupuncture for Benign Vocal Pathologies","Dysphonia; Hyperfunctional Dysphonia","Dysphonia; Hyperfunctional Dysphonia","Hyperfunctional dysphonia associated with yin deficiency and excessive yang leading to phlegm-heat accumulation","Hyperfunctional dysphonia associated with yin deficiency and excessive yang leading to phlegm-heat accumulation","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jvoice.2009.05.005","A Preliminary Study of the Effect of Acupuncture on Emotional Stress in Female Dysphonic Speakers","Phonotraumatic injuries, including vocal nodules, vocal polyps, vocal fold edema, or chronic laryngitis","Phonotraumatic injuries, including vocal nodules, vocal polyps, vocal fold edema, or chronic laryngitis","Not specified (the paper does not provide a TCM diagnosis or condition for the primary medical condition)","Not specified (the paper does not provide a TCM diagnosis or condition for the primary medical condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.knee.2013.12.002","Comparison the effect of lateral wedge insole and acupuncture in medial compartment knee osteoarthritis: A randomized controlled trial","Knee osteoarthritis (OA)","Knee osteoarthritis (OA)","Not specified (the paper does not provide TCM terminology or classification for the condition)","Not specified (the paper does not provide TCM terminology or classification for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.math.2010.05.010","Myofascial trigger point needling for whiplash associated pain e A feasibility study","Whiplash associated pain","Whiplash associated pain","Not specified (the paper does not provide a TCM classification for the condition)","Not specified (the paper does not provide a TCM classification for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.math.2016.07.009","Effects of dry needling to the symptomatic versus control shoulder in patients with unilateral subacromial pain syndrome *","Unilateral subacromial pain syndrome","Unilateral subacromial pain syndrome","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.maturitas.2006.11.001","Acupuncture for postmenopausal hot flashes","Postmenopausal hot flashes","Postmenopausal hot flashes","Kidney yin vacuity, vacuity heat; Ascendant hyperactive Lv yang; Phlegm Fire","Kidney yin vacuity, vacuity heat; Ascendant hyperactive Lv yang; Phlegm Fire","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.maturitas.2009.10.017","Managing hot flushes in men after prostate cancer-A systematic review","Hot flushes in men with prostate cancer","Hot flushes in men with prostate cancer","Not specified (the paper does not mention any TCM terminology or conditions)","Not specified (the paper does not mention any TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.maturitas.2011.02.001","The use of acupuncture for managing gynaecologic conditions: An overview of systematic reviews","- Side effects of breast cancer chemotherapy - Menstrual disturbances - Menopausal symptoms - Female infertility - Uterine fibroids - Polycystic ovary syndrome","- Side effects of breast cancer chemotherapy - Menstrual disturbances - Menopausal symptoms - Female infertility - Uterine fibroids - Polycystic ovary syndrome","Not specified (the paper does not mention TCM terminology for the conditions studied)","Not specified (the paper does not mention TCM terminology for the conditions studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.maturitas.2017.03.314","Moxibustion for the treatment of osteoarthritis: An updated systematic review and meta-analysis","Osteoarthritis (OA)","Osteoarthritis (OA)","Not specified (the paper does not explicitly state the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly state the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.midw.2006.02.003","A randomised-control led trial in Sweden of acupuncture and care interventions for the relief of inflammatory symptoms of the breast during lactation","Mastitis (inflammatory symptoms of the breast during lactation)","Mastitis (inflammatory symptoms of the breast during lactation)","Not specified (the paper does not use Traditional Chinese Medicine terminology)","Not specified (the paper does not use Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.midw.2006.02.003","A randomised-controlled trial in Sweden of acupuncture and care interventions for the relief of inflammatory symptoms of the breast during lactation","Mastitis (inflammatory symptoms of the breast during lactation)","Mastitis (inflammatory symptoms of the breast during lactation)","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.neulet.2010.08.016","Acupuncture is effective to attenuate stress and stimulate lymphocyte proliferation in the elderly","Not specified","stress management and immune functions","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.neulet.2014.12.016","Acupuncture for sleep quality, BDNF levels and immunosenescence: A randomized controlled study","Not specified (the paper focuses on sleep quality, psychological distress, and immunosenescence, but does not specify a primary medical condition or disease)","Healthy volunteers","Not specified (the paper does not provide a TCM diagnosis or condition)","Not specified (the paper does not provide a TCM diagnosis or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.ophtha.2011.01.017","Adjunctive Effect of Acupuncture to Refractive Correction on Anisometropic Amblyopia One-Year Results of a Randomized Crossover Trial","Anisometropic amblyopia","Anisometropic amblyopia","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2003.08.013","The placebo needle, is it a valid and convincing placebo for use in acupuncture trials? A randomised, single-blind, cross-over pilot trial","Chronic/stable pain from a single joint (hip or knee)","Chronic/stable pain from a single joint (hip or knee)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
