"Acupoint","WHO Location","Identified Locations","Identified Locations URI","Relation","Reference",""
"ST 39","","Tibialis Anterior Muscle","http://purl.obolibrary.org/obo/UBERON_0001385","TARA:locatedInRelationTo","",""
"ST 40","On the anterolateral aspect of the leg, lateral border of the tibialis anterior muscle, 8 B-cun superior to the prominence of the lateral malleolus. Note: ST40 is one fingerbreadth (middle finger) lateral to ST38.","Leg","http://purl.obolibrary.org/obo/UBERON_0003823","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 66",""
"ST 40","","Tibialis Anterior Muscle","http://purl.obolibrary.org/obo/UBERON_0001385","TARA:locatedInRelationTo","",""
"ST 40","","Lateral Malleolus","http://purl.obolibrary.org/obo/UBERON_0012291","TARA:locatedInRelationTo","",""
"ST 41","On the anterior aspect of the ankle, in the depression at the centre of the front surface of the ankle joint, between the tendons of extensor hallucis longus and extensor digitorum longus. Note: ST41 is located between two tendons on the dorsum of the foot which are more distinct when the ankle is in dorsiflexion, and is at the midpoint of the line connecting the prominences of the lateral malleolus and the medial malleolus.","Ankle","http://purl.obolibrary.org/obo/UBERON_0004454","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 66",""
"ST 41","","Ankle Joint","http://purl.obolibrary.org/obo/UBERON_0012076","TARA:locatedInRelationTo","",""
"ST 41","","Tendon Of Extensor Hallucis Longus","http://purl.org/sig/ont/fma/fma47065","TARA:locatedInRelationTo","",""
"ST 41","","Tendon Of Extensor Digitorum Longus","http://purl.org/sig/ont/fma/fma47080","TARA:locatedInRelationTo","",""
"ST 42","On the dorsum of the foot, at the joint of the base of the second metatarsal bone and the intermediate cuneiform bone, over the dorsalis pedis artery.","Foot","http://purl.obolibrary.org/obo/UBERON_0002387","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 67",""
"ST 42","","Second Metatarsal Bone","http://purl.obolibrary.org/obo/UBERON_0003651","TARA:locatedInRelationTo","",""
"ST 42","","Intermediate Cuneiform Bone","http://purl.obolibrary.org/obo/UBERON_0001453","TARA:locatedInRelationTo","",""
"ST 42","","Dorsalis Pedis Artery","http://purl.obolibrary.org/obo/UBERON_0001539","TARA:locatedInRelationTo","",""
"ST 43","On the dorsum of the foot, between the second and third metatarsal bones, in the depression proximal to the second metatarsophalangeal joint.","Foot","http://purl.obolibrary.org/obo/UBERON_0002387","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 67",""
"ST 43","","Third Metatarsal Bone","http://purl.obolibrary.org/obo/UBERON_0003652","TARA:locatedInRelationTo","",""
"ST 43","","Metatarsophalangeal Joint","http://purl.obolibrary.org/obo/UBERON_0003696","TARA:locatedInRelationTo","",""
"ST 44","On the dorsum of the foot, between the second and third toes, posterior to the web margin, at the border between the red and white flesh.","Foot","http://purl.obolibrary.org/obo/UBERON_0002387","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 68",""
"ST 44","","Second Toe","http://purl.obolibrary.org/obo/UBERON_0003632","TARA:locatedInRelationTo","",""
"ST 44","","Third Toe","http://purl.obolibrary.org/obo/UBERON_0003633","TARA:locatedInRelationTo","",""
"ST 45","On the second toe, lateral to the distal phalanx, 0.1 f-cun proximal-lateral to the lateral corner of the second toenail, at the intersection of the vertical line of the lateral border and the horizontal line of the base of the second toenail.","Second Toe","http://purl.obolibrary.org/obo/UBERON_0003632","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 68",""
"ST 45","","Distal Phalanx","http://purl.obolibrary.org/obo/UBERON_0004300","TARA:locatedInRelationTo","",""
"ST 45","","Nail Of The Second Toe","http://purl.obolibrary.org/obo/UBERON_0011279","TARA:locatedInRelationTo","",""
"SP 1","On the great toe, medial to the distal phalanx, 0.1 f-cun proximal-medial to the me- dial corner of the toenail, at the intersection of the vertical line of the medial border and horizontal line of the base of the toenail.","Great Toe","http://purl.obolibrary.org/obo/UBERON_0003631","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 70",""
"SP 1","","Distal Phalanx","http://purl.obolibrary.org/obo/UBERON_0004300","TARA:locatedInRelationTo","",""
"SP 1","","Toenail","http://purl.obolibrary.org/obo/UBERON_0009567","TARA:locatedInRelationTo","",""
"SP 2","On the great toe, in the depression distal to the first metatarsophalangeal joint, at the border between the red and white flesh.","Great Toe","http://purl.obolibrary.org/obo/UBERON_0003631","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 70",""
"SP 2","","First Metatarsophalangeal Joint","http://purl.obolibrary.org/obo/UBERON_0007750","TARA:locatedInRelationTo","",""
"SP 3","On the medial aspect of the foot, in the depression proximal to the first metatarsophalangeal joint, at the border between the red and white flesh.","Foot","http://purl.obolibrary.org/obo/UBERON_0002387","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 71",""
"SP 3","","First Metatarsophalangeal Joint","http://purl.obolibrary.org/obo/UBERON_0007750","TARA:locatedInRelationTo","",""
"SP 4","On the medial aspect of the foot, antero- inferior to the base of the first metatarsal bone, at the border between the red and white flesh. Note: A depression can be felt when mov- ing proximally from SP3. SP4 is located in the depression distal to the base of the first metatarsal bone.","Foot","http://purl.obolibrary.org/obo/UBERON_0002387","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 71",""
"SP 4","","First Metatarsal Bone","http://purl.obolibrary.org/obo/UBERON_0003650","TARA:locatedInRelationTo","",""
"SP 5","On the medial aspect of the foot, anteroinferior to the medial malleolus, in the depression midway between the tuberosity of the navicular bone and the prominence of the medial malleolus. Note 1: SP5 is located at the intersection of two imaginary lines: the vertical line of the anterior border of the medial malleolus and the horizontal line of the inferior border of the medial malleolus. Note 2: SP5 is located posterior to LR4 and anterior to KI6.","Foot","http://purl.obolibrary.org/obo/UBERON_0002387","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 72",""
"SP 5","","Medial Malleolus","http://uri.interlex.org/base/ilx_0795305","TARA:locatedInRelationTo","",""
"SP 5","","Navicular Bone","http://purl.obolibrary.org/obo/UBERON_0010759","TARA:locatedInRelationTo","",""
"SP 6","On the tibial aspect of the leg, posterior to the medial border of the tibia, 3 B-cun superior to the prominence of the medial malleolus. Note: 1 B-cun superior to KI8.","Leg","http://purl.obolibrary.org/obo/UBERON_0003823","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 72",""
"SP 6","","Tibia","http://purl.obolibrary.org/obo/UBERON_0000979","TARA:locatedInRelationTo","",""
"SP 6","","Medial Malleolus","http://uri.interlex.org/base/ilx_0795305","TARA:locatedInRelationTo","",""
"SP 7","On the tibial aspect of the leg, posterior to the medial border of the tibia, 6 B-cun superior to the prominence of the medial malleolus. Note: 3 B-cun superior to SP6.","Leg","http://purl.obolibrary.org/obo/UBERON_0003823","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 73",""
"SP 7","","Tibia","http://purl.obolibrary.org/obo/UBERON_0000979","TARA:locatedInRelationTo","",""
"SP 7","","Medial Malleolus","http://uri.interlex.org/base/ilx_0795305","TARA:locatedInRelationTo","",""
"SP 8","On the tibial aspect of the leg, posterior to the medial border of the tibia, 3 B-cun inferior to SP9. Note: SP8 is located at the junction of the upper one third and lower two thirds of the line connecting the apex of the patella with the prominence of the medial malleolus.","Leg","http://purl.obolibrary.org/obo/UBERON_0003823","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 73",""
"SP 8","","Tibia","http://purl.obolibrary.org/obo/UBERON_0000979","TARA:locatedInRelationTo","",""
"SP 8","","Patella","http://purl.obolibrary.org/obo/UBERON_0002446","TARA:locatedInRelationTo","",""
"SP 8","","Medial Malleolus","http://uri.interlex.org/base/ilx_0795305","TARA:locatedInRelationTo","",""
"SP 9","On the tibial aspect of the leg, in the depression between the inferior border of the medial condyle of the tibia and the medial border of the tibia. Note: A depression can be felt inferior to the knee joint when moving proximally along the medial border of the tibia. SP9 is located in a depression at the angle formed by the inferior border of the medial condyle of the tibia and the posterior border of the tibia.","Leg","http://purl.obolibrary.org/obo/UBERON_0003823","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 74",""
"SP 9","","Medial Condyle Of The Tibia","http://purl.obolibrary.org/obo/UBERON_0009990","TARA:locatedInRelationTo","",""
"SP 9","","Tibia","http://purl.obolibrary.org/obo/UBERON_0000979","TARA:locatedInRelationTo","",""
"SP 9","","Knee Joint","http://purl.obolibrary.org/obo/UBERON_0001485","TARA:locatedInRelationTo","",""
"SP 10","On the anteromedial aspect of the thigh, on the bulge of the vastus medialis muscle, 2 B-cun superior to the medial end of the base of the patella.","Thigh","http://purl.obolibrary.org/obo/UBERON_0000376","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 74",""
"SP 10","","Vastus Medialis Muscle","http://purl.obolibrary.org/obo/UBERON_0001380","TARA:locatedInRelationTo","",""
"SP 10","","Patella","http://purl.obolibrary.org/obo/UBERON_0002446","TARA:locatedInRelationTo","",""
"SP 11","On the medial aspect of the thigh, at the junction of the upper one third and lower two thirds of the line connecting the medial end of the base of the patella with SP12, between the sartorius muscle and the adductor longus muscle, over the femoral artery.","Thigh","http://purl.obolibrary.org/obo/UBERON_0000376","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 75",""
"SP 11","","Patella","http://purl.obolibrary.org/obo/UBERON_0002446","TARA:locatedInRelationTo","",""
"SP 11","","Sartorius Muscle","http://purl.obolibrary.org/obo/UBERON_0001373","TARA:locatedInRelationTo","",""
"SP 11","","Adductor Longus Muscle","http://purl.obolibrary.org/obo/UBERON_0000303","TARA:locatedInRelationTo","",""
"SP 11","","Femoral Artery","http://purl.obolibrary.org/obo/UBERON_0002060","TARA:locatedInRelationTo","",""
"SP 12","In the groin region, at the inguinal crease, lateral to the femoral artery. Note: At the same level as CV2, medial and inferior to SP13.","Groin Region","http://purl.obolibrary.org/obo/UBERON_0008337","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 75",""
"SP 12","","Inguinal Crease","http://uri.interlex.org/base/ilx_0795329","TARA:locatedInRelationTo","",""
"SP 12","","Femoral Artery","http://purl.obolibrary.org/obo/UBERON_0002060","TARA:locatedInRelationTo","",""
"SP 13","On the lower abdomen, 4.3 B-cun inferior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line.","Lower Abdomen","http://uri.interlex.org/base/ilx_0795303","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 76",""
"SP 13","","Umbilicus","http://purl.obolibrary.org/obo/UBERON_0007118","TARA:locatedInRelationTo","",""
"SP 13","","Anterior Median Line","http://uri.interlex.org/base/ilx_0795285","TARA:locatedInRelationTo","",""
"SP 14","On the lower abdomen, 1.3 B-cun inferior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line.","Lower Abdomen","http://uri.interlex.org/base/ilx_0795303","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 76",""
"SP 14","","Umbilicus","http://purl.obolibrary.org/obo/UBERON_0007118","TARA:locatedInRelationTo","",""
"SP 14","","Anterior Median Line","http://uri.interlex.org/base/ilx_0795285","TARA:locatedInRelationTo","",""
"SP 15","On the upper abdomen, 4 B-cun lateral to the centre of the umbilicus. Note: At the same level and lateral to ST25, KI16 and CV8.","Upper Abdomen","http://uri.interlex.org/base/ilx_0795301","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 77",""
"SP 15","","Umbilicus","http://purl.obolibrary.org/obo/UBERON_0007118","TARA:locatedInRelationTo","",""
"SP 16","On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line. Note: 3 B-cun superior to SP15, at the same level as CV11.","Upper Abdomen","http://uri.interlex.org/base/ilx_0795301","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 77",""
"SP 16","","Umbilicus","http://purl.obolibrary.org/obo/UBERON_0007118","TARA:locatedInRelationTo","",""
"SP 16","","Anterior Median Line","http://uri.interlex.org/base/ilx_0795285","TARA:locatedInRelationTo","",""
"SP 17","In the anterior thoracic region, in the fifth intercostal space, 6 B-cun lateral to the anterior median line. Note: SP17, ST18 and KI22 are located along the curve of the fifth intercostal space.","Anterior Thoracic Region","http://purl.obolibrary.org/obo/UBERON_0016416","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 78",""
"SP 17","","Fifth Intercostal Space","http://uri.interlex.org/base/ilx_0795299","TARA:locatedInRelationTo","",""
"SP 17","","Anterior Median Line","http://uri.interlex.org/base/ilx_0795285","TARA:locatedInRelationTo","",""
"SP 18","In the anterior thoracic region, in the fourth intercostal space, 6 B-cun lateral to the anterior median line. Note: SP18, ST17 and KI23 are located along the curve of the fourth intercostal space.","Anterior Thoracic Region","http://purl.obolibrary.org/obo/UBERON_0016416","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 78",""
"SP 18","","Fourth Intercostal Space","http://uri.interlex.org/base/ilx_0795298","TARA:locatedInRelationTo","",""
"SP 18","","Anterior Median Line","http://uri.interlex.org/base/ilx_0795285","TARA:locatedInRelationTo","",""
"SP 19","In the anterior thoracic region, in the third intercostal space, 6 B-cun lateral to the anterior median line. Note: SP19, ST6 and KI24 are located along the curve of the third intercostal space.","Anterior Thoracic Region","http://purl.obolibrary.org/obo/UBERON_0016416","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 79",""
"SP 19","","Third Intercostal Space","http://uri.interlex.org/base/ilx_0795297","TARA:locatedInRelationTo","",""
"SP 19","","Anterior Median Line","http://uri.interlex.org/base/ilx_0795285","TARA:locatedInRelationTo","",""
"SP 20","In the anterior thoracic region, in the second intercostal space, 6 B-cun lateral to the anterior median line. Note: SP20, ST15 and KI25 are located along the curve of the second intercostal space.","Anterior Thoracic Region","http://purl.obolibrary.org/obo/UBERON_0016416","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 79",""
"SP 20","","Second Intercostal Space","http://uri.interlex.org/base/ilx_0795295","TARA:locatedInRelationTo","",""
"SP 20","","Anterior Median Line","http://uri.interlex.org/base/ilx_0795285","TARA:locatedInRelationTo","",""
"SP 21","In the lateral thoracic region, in the sixth intercostal space, on the midaxillary line. Note: With the subject lying on the side and the arm abducted, SP21 is located at the intersection of the midaxillary line and the sixth intercostal space.","Lateral Thoracic Region","http://uri.interlex.org/base/ilx_0795306","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 80",""
"SP 21","","Sixth Intercostal Space","http://uri.interlex.org/base/ilx_0795307","TARA:locatedInRelationTo","",""
"SP 21","","Midaxillary Line","http://uri.interlex.org/base/ilx_0795308","TARA:locatedInRelationTo","",""
"HT 1","In the axilla, in the centre of the axillary fossa, over the axillary artery.","Axilla","http://purl.obolibrary.org/obo/UBERON_0009472","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 82",""
"HT 1","","Axillary Fossa","http://uri.interlex.org/base/ilx_0795309","TARA:locatedInRelationTo","",""
"HT 1","","Axillary Artery","http://purl.obolibrary.org/obo/UBERON_0001394","TARA:locatedInRelationTo","",""
"HT 2","On the medial aspect of the arm, just medial to the biceps brachii muscle, 3 B-cun superior to the cubital crease. Note: With the elbow flexed and the arm abducted, Ht2 is located at the junction of the upper two thirds and lower one third of the line connecting Ht1 with Ht3.","Arm","http://purl.obolibrary.org/obo/UBERON_0001460","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 82",""
"HT 2","","Biceps Brachii Muscle","http://purl.obolibrary.org/obo/UBERON_0001507","TARA:locatedInRelationTo","",""
"HT 2","","Cubital Crease","http://uri.interlex.org/base/ilx_0795332","TARA:locatedInRelationTo","",""
"HT 3","On the anteromedial aspect of the elbow, just anterior to the medial epicondyle of the humerus, at the same level as the cubital crease. Note: With the elbow is flexed, HT3 is located at the midpoint of the line connecting the medial end of the cubital crease and the medial epicondyle of the humerus.","Elbow","http://purl.obolibrary.org/obo/UBERON_0001461","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 83",""
"HT 3","","Medial Epicondyle","http://purl.obolibrary.org/obo/UBERON_0006806","TARA:locatedInRelationTo","",""
"HT 3","","Cubital Crease","http://uri.interlex.org/base/ilx_0795332","TARA:locatedInRelationTo","",""
"HT 4","On the anteromedial aspect of the forearm, just radial to the flexor carpi ulnaris tendon, 1.5 B-cun proximal to the palmar wrist crease. Note 1: 1.5 B-cun proximal to HT7, at the same level as the superior border of the head of the ulna. Note 2: 1.5 B-cun proximal to the radial side of the superior border of the pisiform bone.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 83",""
"HT 4","","Flexor Carpi Ulnaris Tendon","http://purl.org/sig/ont/fma/fma38606","TARA:locatedInRelationTo","",""
"HT 4","","Palmar Wrist Crease","http://uri.interlex.org/base/ilx_0795334","TARA:locatedInRelationTo","",""
"HT 4","","Ulna","http://purl.obolibrary.org/obo/UBERON_0001424","TARA:locatedInRelationTo","",""
"HT 4","","Pisiform Bone","http://purl.obolibrary.org/obo/UBERON_0001429","TARA:locatedInRelationTo","",""
"HT 5","On the anteromedial aspect of the forearm, radial to the flexor carpi ulnaris tendon, 1 B-cun proximal to the palmar wrist crease. Note 1: 1 B-cun proximal to HT7. HT 4 is located at the level with the root of the head of the ulna, HT 5, the body of the head of the ulna and Ht 6, the base of the head of the ulna. Note 2: 1 B-cun proximal to the radial side of the proximal border of the pisiform bone.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 84",""
"HT 5","","Flexor Carpi Ulnaris Tendon","http://purl.org/sig/ont/fma/fma38606","TARA:locatedInRelationTo","",""
"HT 5","","Palmar Wrist Crease","http://uri.interlex.org/base/ilx_0795334","TARA:locatedInRelationTo","",""
"HT 5","","Ulna","http://purl.obolibrary.org/obo/UBERON_0001424","TARA:locatedInRelationTo","",""
"HT 5","","Pisiform Bone","http://purl.obolibrary.org/obo/UBERON_0001429","TARA:locatedInRelationTo","",""
"HT 6","On the anteromedial aspect of the forearm, radial to the flexor carpi ulnaris tendon, 0.5 B-cun proximal to the palmar wrist crease. Note 1: 0.5 B-cun proximal to HT7, at the same level as the distal border of the head of the ulna. Note 2: 0.5 B-cun proximal to the radial side of the proximal border of the pisiform bone.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 84",""
"HT 6","","Flexor Carpi Ulnaris Tendon","http://purl.org/sig/ont/fma/fma38606","TARA:locatedInRelationTo","",""
"HT 6","","Palmar Wrist Crease","http://uri.interlex.org/base/ilx_0795334","TARA:locatedInRelationTo","",""
"HT 6","","Ulna","http://purl.obolibrary.org/obo/UBERON_0001424","TARA:locatedInRelationTo","",""
"HT 6","","Pisiform Bone","http://purl.obolibrary.org/obo/UBERON_0001429","TARA:locatedInRelationTo","",""
"HT 7","On the anteromedial aspect of the wrist, radial to the flexor carpi ulnaris tendon, on the palmar wrist crease. Note: In the depression radial to the proximal border of the pisiform bone, on the palmar wrist crease.","Wrist","http://purl.obolibrary.org/obo/UBERON_0004452","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 85",""
"HT 7","","Flexor Carpi Ulnaris Tendon","http://purl.org/sig/ont/fma/fma38606","TARA:locatedInRelationTo","",""
"HT 7","","Palmar Wrist Crease","http://uri.interlex.org/base/ilx_0795334","TARA:locatedInRelationTo","",""
"HT 7","","Pisiform Bone","http://purl.obolibrary.org/obo/UBERON_0001429","TARA:locatedInRelationTo","",""
"HT 8","On the palm of the hand, in the depression between the fourth and fifth metacarpal bones, proximal to the fifth metacarpophalangeal joint. Note: Between the fourth and fifth metacarpal bones, where the tip of the little finger rests when a fist is made, at the same level as PC8.","Palm","http://purl.obolibrary.org/obo/UBERON_0008878","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 85",""
"HT 8","","Hand","http://purl.obolibrary.org/obo/UBERON_0002398","TARA:locatedOnTheSurfaceOf","",""
"HT 8","","Metacarpal Bones","http://purl.obolibrary.org/obo/UBERON_0010544","TARA:locatedInRelationTo","",""
"HT 8","","Little Finger","http://purl.obolibrary.org/obo/UBERON_0003625","TARA:locatedInRelationTo","",""
"HT 9","On the little finger, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the little fingernail, at the intersection of the vertical line of the radial border of the nail and horizontal line of the base of the little fingernail.","Little Finger","http://purl.obolibrary.org/obo/UBERON_0003625","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 86",""
"HT 9","","Distal Phalanx","http://purl.obolibrary.org/obo/UBERON_0004300","TARA:locatedInRelationTo","",""
"HT 9","","Nail Of Manual Digit 5","http://purl.obolibrary.org/obo/UBERON_0011277","TARA:locatedInRelationTo","",""
"SI 1","On the little finger, ulnar to the distal phalanx, 0.1 f-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and horizontal line of the base of the little fingernail.","Little Finger","http://purl.obolibrary.org/obo/UBERON_0003625","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 88",""
"SI 1","","Distal Phalanx","http://purl.obolibrary.org/obo/UBERON_0004300","TARA:locatedInRelationTo","",""
"SI 1","","Nail Of Manual Digit 5","http://purl.obolibrary.org/obo/UBERON_0011277","TARA:locatedInRelationTo","",""
"SI 2","On the little finger, ulnar to the distal phalanx, 0.1 f-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and horizontal line of the base of the little fingernail.","Little Finger","http://purl.obolibrary.org/obo/UBERON_0003625","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 88",""
"SI 2","","Distal Phalanx","http://purl.obolibrary.org/obo/UBERON_0004300","TARA:locatedInRelationTo","",""
"SI 2","","Nail Of Manual Digit 5","http://purl.obolibrary.org/obo/UBERON_0011277","TARA:locatedInRelationTo","",""
"SI 3","On the little finger, ulnar to the distal phalanx, 0.1 f-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and horizontal line of the base of the little fingernail.","Little Finger","http://purl.obolibrary.org/obo/UBERON_0003625","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 89",""
"SI 3","","Distal Phalanx","http://purl.obolibrary.org/obo/UBERON_0004300","TARA:locatedInRelationTo","",""
"SI 3","","Nail Of Manual Digit 5","http://purl.obolibrary.org/obo/UBERON_0011277","TARA:locatedInRelationTo","",""
"SI 4","On the posteromedial aspect of the wrist, in the depression between the base of the fifth metacarpal bone and the triquetrum bone, at the border between the red and white flesh. Note: With one finger placed on SI3, push and slide proximally along the fifth metacarpal bone to the bony projection, SI4 is located in the depression between these two bones.","Wrist","http://purl.obolibrary.org/obo/UBERON_0004452","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 89",""
"SI 4","","Fifth Metacarpal Bone","http://purl.obolibrary.org/obo/UBERON_0003649","TARA:locatedInRelationTo","",""
"SI 4","","Triquetrum","http://purl.obolibrary.org/obo/UBERON_0002445","TARA:locatedInRelationTo","",""
"SI 5","On the posteromedial aspect of the wrist, in the depression between the triquetrum bone and the ulnar styloid process.","Wrist","http://purl.obolibrary.org/obo/UBERON_0004452","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 90",""
"SI 5","","Fifth Metacarpal Bone","http://purl.obolibrary.org/obo/UBERON_0003649","TARA:locatedInRelationTo","",""
"SI 5","","Ulnar Styloid Process","http://purl.obolibrary.org/obo/UBERON_0011575","TARA:locatedInRelationTo","",""
"SI 6","On the posteromedial aspect of the forearm, in the depression radial to the head of the ulnar bone, 1 B-cun proximal to the dorsal wrist crease. Note: With the palm facing downwards, press the highest point of the head of ulnar bone with a finger, and then turn the palm towards the chest; SI6 is located at the cleft between the bones where the finger slides.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 90",""
"SI 6","","Dorsal Wrist Crease","http://uri.interlex.org/base/ilx_0795333","TARA:locatedInRelationTo","",""
"SI 6","","Ulnare","http://purl.obolibrary.org/obo/UBERON_0002445","TARA:locatedInRelationTo","",""
"SI 7","On the posteromedial aspect of the forearm, between the medial border of the ulnar bone and the flexor carpi ulnaris muscle, 5 B-cun proximal to the dorsal wrist crease. Note: 1 B-cun distal to the midpoint of the line connecting SI5 with SI8.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 91",""
